region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IREG101,26,1334,2425,3759,34,102,136,286,623,909,3,7,10,323,732,1055,520,404,924,7516,3540,11056,53,43,96,8089,3987,12076,3994,4298,8292,29441,30435,59876,423,493,916,33858,35226,69084,1069,1134,2203,4492,5014,9506,69,57,126,5630,6205,11835,2294,2374,4668,20395,20891,41286,298,358,656,22987,23623,46610,2003,2306,4309,11329,12528,23857,129,138,267,13461,14972,28433
IREG102,60,3705,6146,9851,72,158,230,694,1506,2200,3,7,10,769,1671,2440,713,598,1311,18638,8539,27177,143,63,206,19494,9200,28694,6082,6471,12553,72854,74184,147038,925,944,1869,79861,81599,161460,1679,1819,3498,13043,13874,26917,188,191,379,14910,15884,30794,3687,3861,7548,49635,50070,99705,629,657,1286,53951,54588,108539,2977,3357,6334,30888,32860,63748,347,334,681,34212,36551,70763
IREG103,6,603,837,1440,24,60,84,106,231,337,3,4,7,133,295,428,270,211,481,3288,1368,4656,41,15,56,3599,1594,5193,2904,3191,6095,13133,12688,25821,236,237,473,16273,16116,32389,529,572,1101,1994,1908,3902,45,30,75,2568,2510,5078,2071,2265,4336,9866,9316,19182,178,166,344,12115,11747,23862,956,1071,2027,4383,4353,8736,66,64,130,5405,5488,10893
IREG104,501,34329,51684,86013,278,512,790,4671,10395,15066,42,74,116,4991,10981,15972,3042,2304,5346,152636,64112,216748,1322,446,1768,157000,66862,223862,19155,20032,39187,534452,563078,1097530,6360,6800,13160,559967,589910,1149877,4880,5342,10222,89571,96927,186498,1122,1148,2270,95573,103417,198990,11195,11573,22768,360826,378277,739103,4485,4790,9275,376506,394640,771146,9649,10776,20425,226207,245939,472146,2175,2218,4393,238031,258933,496964
IREG105,123,8747,13804,22551,90,154,244,1546,3521,5067,10,26,36,1646,3701,5347,916,752,1668,44533,19618,64151,369,131,500,45818,20501,66319,7215,7444,14659,171856,174873,346729,2151,2219,4370,181222,184536,365758,1907,2087,3994,28885,30608,59493,376,354,730,31168,33049,64217,4293,4144,8437,119067,119817,238884,1541,1576,3117,124901,125537,250438,3569,4089,7658,69009,73373,142382,697,682,1379,73275,78144,151419
IREG106,118,8543,12567,21110,57,99,156,1026,2308,3334,6,8,14,1089,2415,3504,618,445,1063,34989,13764,48753,286,93,379,35893,14302,50195,3996,4146,8142,124379,128297,252676,1398,1520,2918,129773,133963,263736,951,1022,1973,20510,21895,42405,215,229,444,21676,23146,44822,2382,2426,4808,84748,86508,171256,1014,1072,2086,88144,90006,178150,1935,2077,4012,52061,55808,107869,445,507,952,54441,58392,112833
IREG107,1931,136829,179855,316684,180,441,621,11121,21350,32471,61,138,199,11362,21929,33291,2976,2082,5058,299607,123596,423203,2695,1009,3704,305278,126687,431965,19661,20670,40331,1672822,1735541,3408363,19388,20232,39620,1711871,1776443,3488314,4143,4454,8597,278539,289068,567607,3116,3192,6308,285798,296714,582512,12318,13008,25326,1104332,1154238,2258570,13356,14098,27454,1130006,1181344,2311350,8635,9407,18042,720934,749632,1470566,6304,6404,12708,735873,765443,1501316
IREG194,5,297,348,645,5,4,9,46,79,125,3,3,6,54,86,140,52,25,77,1021,334,1355,14,3,17,1087,362,1449,63,62,125,1240,733,1973,29,16,45,1332,811,2143,249,213,462,3854,3310,7164,57,59,116,4160,3582,7742,48,31,79,806,436,1242,22,12,34,876,479,1355,223,206,429,4051,3434,7485,50,55,105,4324,3695,8019
IREG197,0,3,5,8,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,17,5,22,3,0,3,20,5,25,0,0,0,41,47,88,3,0,3,44,47,91,0,0,0,9,5,14,0,0,0,9,5,14,0,0,0,33,36,69,0,0,0,33,36,69,0,0,0,18,16,34,3,0,3,21,16,37
IREG201,2004,125441,156287,281728,65,138,203,8583,16580,25163,79,111,190,8727,16829,25556,1151,753,1904,280970,118527,399497,2690,990,3680,284811,120270,405081,6499,6619,13118,1524643,1590198,3114841,19186,19655,38841,1550328,1616472,3166800,1647,1827,3474,261327,272777,534104,3259,3239,6498,266233,277843,544076,3913,3913,7826,1011495,1063842,2075337,13125,13887,27012,1028533,1081642,2110175,3363,3617,6980,662906,691946,1354852,6428,6383,12811,672697,701946,1374643
IREG202,504,33951,48651,82602,93,179,272,4105,9038,13143,25,54,79,4223,9271,13494,1114,883,1997,140456,61179,201635,1165,411,1576,142735,62473,205208,7111,7506,14617,544673,564549,1109222,6591,7017,13608,558375,579072,1137447,1897,2238,4135,88488,95621,184109,1036,1057,2093,91421,98916,190337,4032,4248,8280,372997,382903,755900,4676,4942,9618,381705,392093,773798,3660,4231,7891,221087,240069,461156,2099,2252,4351,226846,246552,473398
IREG294,6,201,225,426,0,3,3,39,52,91,0,0,0,39,55,94,11,3,14,616,246,862,9,3,12,636,252,888,25,15,40,717,495,1212,16,8,24,758,518,1276,65,47,112,2531,2334,4865,39,23,62,2635,2404,5039,19,8,27,466,288,754,14,10,24,499,306,805,61,46,107,2637,2400,5037,31,19,50,2729,2465,5194
IREG297,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,14,0,14,0,0,0,14,0,14
IREG301,1061,81250,111344,192594,287,488,775,8760,16440,25200,63,99,162,9110,17027,26137,3148,2357,5505,258740,110616,369356,1862,718,2580,263750,113691,377441,18203,19028,37231,1054144,1098102,2152246,10247,11036,21283,1082594,1128166,2210760,6337,6686,13023,237641,251998,489639,2434,2603,5037,246412,261287,507699,9490,9977,19467,622926,651883,1274809,6286,6928,13214,638702,668788,1307490,11740,12554,24294,583339,617774,1201113,4644,4941,9585,599723,635269,1234992
IREG302,73,5231,7631,12862,128,252,380,584,1223,1807,0,5,5,712,1480,2192,969,809,1778,22190,8538,30728,204,71,275,23363,9418,32781,7682,8393,16075,72770,72515,145285,965,941,1906,81417,81849,163266,2643,3053,5696,16372,17561,33933,228,257,485,19243,20871,40114,4390,4800,9190,44622,43434,88056,616,613,1229,49628,48847,98475,4459,5195,9654,38646,41307,79953,420,466,886,43525,46968,90493
IREG303,6,198,323,521,69,93,162,14,24,38,0,3,3,83,120,203,431,263,694,903,235,1138,17,4,21,1351,502,1853,3698,3865,7563,2291,1842,4133,48,46,94,6037,5753,11790,349,321,670,710,692,1402,12,16,28,1071,1029,2100,3032,3212,6244,1358,1000,2358,32,23,55,4422,4235,8657,548,566,1114,1442,1350,2792,24,28,52,2014,1944,3958
