region_id,C06_F_u_a_a_h_FH_One_PFam,C06_F_u_a_a_h_FH_oth_fa,C06_F_u_a_a_h_FH_Tot,C06_F_u_a_a_h_LP_H,C06_F_u_a_a_h_GH,C06_F_u_a_a_h_OH,C06_F_u_a_a_h_Tot,C06_F_u_a_T_FH_CF_no_ch,C06_F_u_a_T_FH_CF_w_ch,C06_F_u_a_T_FH_One_PFam,C06_F_u_a_T_FH_oth_fa,C06_F_u_a_T_FH_Tot,C06_F_u_a_T_LP_H,C06_F_u_a_T_GH,C06_F_u_a_T_OH,C06_F_u_a_T_Tot,C06_OD_C_c_hb_FH_CF_no_ch,C06_OD_C_c_hb_FH_CF_w_ch,C06_OD_C_c_hb_FH_One_PFam,C06_OD_C_c_hb_FH_oth_fa,C06_OD_C_c_hb_FH_Tot,C06_OD_C_c_hb_LP_H,C06_OD_C_c_hb_GH,C06_OD_C_c_hb_OH,C06_OD_C_c_hb_Tot,C06_OD_Ih_t_s_FH_CF_no_ch,C06_OD_Ih_t_s_FH_CF_w_ch,C06_OD_Ih_t_s_FH_One_PFam,C06_OD_Ih_t_s_FH_oth_fa,C06_OD_Ih_t_s_FH_Tot,C06_OD_Ih_t_s_LP_H,C06_OD_Ih_t_s_GH,C06_OD_Ih_t_s_OH,C06_OD_Ih_t_s_Tot,C06_OD_H_f_so_FH_CF_no_ch,C06_OD_H_f_so_FH_CF_w_ch,C06_OD_H_f_so_FH_One_PFam,C06_OD_H_f_so_FH_oth_fa,C06_OD_H_f_so_FH_Tot,C06_OD_H_f_so_LP_H,C06_OD_H_f_so_GH,C06_OD_H_f_so_OH,C06_OD_H_f_so_Tot,C06_OD_T_FH_CF_no_ch,C06_OD_T_FH_CF_w_ch,C06_OD_T_FH_One_PFam,C06_OD_T_FH_oth_fa,C06_OD_T_FH_Tot,C06_OD_Tot_LP_H,C06_OD_Tot_GH,C06_OD_Tot_OH,C06_OD_T_T,C06_DS_ns_FH_CF_no_ch,C06_DS_ns_FH_CF_w_ch,C06_DS_ns_FH_One_PFam,C06_DS_ns_FH_oth_fa,C06_DS_ns_FH_Tot,C06_DS_ns_LP_H,C06_DS_ns_GH,C06_DS_ns_OH,C06_DS_NS_T,C06_T_FH_CF_no_ch,C06_T_FH_CF_w_ch,C06_T_FH_One_PFam,C06_T_FH_oth_fa,C06_T_FH_Tot,C06_Tot_LP_H,C06_Tot_GH,C06_Tot_OH,C06_T_T,C11_S_h_FH_CF_no_ch,C11_S_h_FH_CF_w_ch,C11_S_h_FH_One_PFam,C11_S_h_FH_oth_fa,C11_S_h_FH_Tot,C11_S_h_LP_H,C11_S_h_GH,C11_S_h_OH,C11_S_h_Tot,C11_Sd_r_t_1_FH_CF_no_ch,C11_Sd_r_t_1_FH_CF_w_ch,C11_Sd_r_t_1_FH_One_PFam,C11_Sd_r_t_1_FH_oth_fa,C11_Sd_r_t_1_FH_Tot,C11_Sd_r_t_1_LP_H,C11_Sd_r_t_1_GH,C11_Sd_r_t_1_OH,C11_Sd_r_t_1_Tot,C11_Sd_r_t_2m_FH_CF_no_ch,C11_Sd_r_t_2m_FH_CF_w_ch,C11_Sd_r_t_2m_FH_One_PFam,C11_Sd_r_t_2m_FH_oth_fa,C11_Sd_r_t_2m_FH_Tot,C11_Sd_r_t_2m_LP_H,C11_Sd_r_t_2m_GH,C11_Sd_r_t_2m_OH,C11_Sd_r_t_2m_Tot,C11_Sd_r_t_T_FH_CF_no_ch,C11_Sd_r_t_T_FH_CF_w_ch,C11_Sd_r_t_T_FH_One_PFam,C11_Sd_r_t_T_FH_oth_fa,C11_Sd_r_t_T_FH_Tot,C11_Sd_r_t_T_LP_H,C11_Sd_r_t_T_GH,C11_Sd_r_t_T_OH,C11_Sd_r_t_T_Tot,C11_F_u_a_1_2_FH_CF_no_ch,C11_F_u_a_1_2_FH_CF_w_ch,C11_F_u_a_1_2_FH_One_PFam,C11_F_u_a_1_2_FH_oth_fa,C11_F_u_a_1_2_FH_Tot,C11_F_u_a_1_2_LP_H,C11_F_u_a_1_2_GH,C11_F_u_a_1_2_OH,C11_F_u_a_1_2_Tot,C11_F_u_a_3_FH_CF_no_ch,C11_F_u_a_3_FH_CF_w_ch,C11_F_u_a_3_FH_One_PFam,C11_F_u_a_3_FH_oth_fa,C11_F_u_a_3_FH_Tot,C11_F_u_a_3_LP_H,C11_F_u_a_3_GH,C11_F_u_a_3_OH,C11_F_u_a_3_Tot,C11_F_u_a_4m_FH_CF_no_ch,C11_F_u_a_4m_FH_CF_w_ch,C11_F_u_a_4m_FH_One_PFam,C11_F_u_a_4m_FH_oth_fa,C11_F_u_a_4m_FH_Tot,C11_F_u_a_4m_LP_H,C11_F_u_a_4m_GH,C11_F_u_a_4m_OH,C11_F_u_a_4m_Tot,C11_F_u_a_a_h_FH_CF_no_ch,C11_F_u_a_a_h_FH_CF_w_ch,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa
LGA10050,3,0,6,6,0,4,16,434,120,250,42,846,1662,285,240,3033,28,10,10,3,51,52,0,49,152,3,0,0,0,3,3,0,5,11,12,7,0,3,22,24,5,4,55,43,17,10,6,76,79,5,58,218,5,0,0,0,5,6,0,0,11,4469,4975,2094,220,11758,4986,892,793,18429,4185,4697,1798,128,10808,3046,552,450,14856,197,57,91,14,359,529,62,48,998,22,15,13,3,53,38,14,5,110,219,72,104,17,412,567,76,53,1108,421,189,263,32,905,1819,186,218,3128,15,4,5,0,24,71,10,11,116,0,0,4,0,4,16,3,3,26,5,3,0,0,8,4,0,4,16,441,196,272,32,941,1910,199,236,3286,14,4,3,0,21,46,0,35,102,0,0,0,0,0,0,0,8,8,7,7,0,0,14,9,0,0,23,21,11,3,0,35,55,0,43,133,0,4,4,0,8,3,3,3,17,4866,4980,2181,177
LGA10110,3,0,12,15,0,3,30,104,40,51,10,205,492,103,80,880,4,4,6,3,17,25,3,28,73,0,0,0,0,0,0,0,0,0,10,7,0,0,17,4,4,0,25,14,11,6,3,34,29,7,28,98,0,0,0,0,0,0,0,0,0,2057,2342,953,93,5445,2311,495,399,8650,2065,2141,899,68,5173,1614,295,301,7383,80,36,44,0,160,238,28,35,461,12,7,3,0,22,38,4,6,70,92,43,47,0,182,276,32,41,531,124,81,71,16,292,517,97,123,1029,4,7,4,0,15,15,3,13,46,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13,0,5,21,131,88,75,16,310,545,100,141,1096,3,3,3,0,9,23,3,53,88,0,0,0,0,0,0,0,0,0,6,5,0,0,11,5,0,7,23,9,8,3,0,20,28,3,60,111,4,0,0,0,4,4,0,3,11,2301,2280,1024,84
LGA10150,4,0,18,19,8,5,50,1562,1144,604,181,3491,2736,635,645,7507,4,0,0,0,4,0,0,0,4,0,0,0,0,0,22,0,0,22,19,21,13,3,56,39,11,16,122,23,21,13,3,60,61,11,16,148,0,0,0,0,0,0,0,3,3,3419,4360,1436,312,9527,4360,1034,1017,15938,1324,2624,632,86,4666,966,224,230,6086,295,370,130,21,816,287,56,69,1228,160,202,59,17,438,185,55,47,725,455,572,189,38,1254,472,111,116,1953,675,467,236,75,1453,1110,255,222,3040,901,697,317,101,2016,1254,295,195,3760,295,202,88,31,616,310,111,105,1142,13,7,3,0,23,28,7,6,64,1884,1373,644,207,4108,2702,668,528,8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,27,8,14,0,49,27,16,13,105,27,8,14,0,49,27,16,17,109,6,5,3,3,17,13,3,0,33,3696,4582,1482,334
LGA10200,4,0,16,13,0,6,35,1380,1900,708,178,4166,1452,560,1029,7207,0,9,0,0,9,5,0,0,14,0,0,0,0,0,0,0,0,0,12,47,8,0,67,26,5,21,119,12,56,8,0,76,31,5,21,133,37,47,5,3,92,29,8,18,147,3637,8222,2346,417,14622,3500,932,1731,20785,1939,5626,1380,211,9156,1498,343,415,11412,208,458,135,23,824,198,41,65,1128,291,740,244,35,1310,224,75,95,1704,499,1198,379,58,2134,422,116,160,2832,495,807,280,89,1671,553,195,159,2578,642,864,284,84,1874,537,186,211,2808,1038,878,288,97,2301,722,271,405,3699,4,8,4,0,16,3,3,4,26,2179,2557,856,270,5862,1815,655,779,9111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,10,14,5,0,29,17,5,8,59,10,14,5,0,29,17,5,21,72,3,7,3,0,13,7,4,0,24,4630,9402,2623,539
LGA10250,9,0,21,15,0,0,36,419,204,286,20,929,1004,149,168,2250,183,34,39,10,266,339,12,209,826,6,0,3,0,9,5,0,0,14,14,11,4,0,29,8,12,3,52,203,45,46,10,304,352,24,212,892,0,3,0,0,3,4,0,0,7,4580,3981,1757,133,10451,4084,592,713,15840,3770,3512,1258,92,8632,2134,326,291,11383,300,125,207,13,645,564,58,65,1332,172,135,145,3,455,215,56,32,758,472,260,352,16,1100,779,114,97,2090,370,148,219,15,752,994,85,88,1919,32,7,12,0,51,24,3,14,92,18,5,6,0,29,28,9,25,91,0,0,4,0,4,18,0,0,22,420,160,241,15,836,1064,97,127,2124,137,24,27,0,188,265,11,207,671,0,0,0,0,0,5,4,50,59,7,6,5,0,18,10,3,3,34,144,30,32,0,206,280,18,260,764,3,0,0,0,3,3,3,0,9,4809,3962,1883,123
LGA10300,0,0,0,0,0,0,0,3,3,3,0,9,32,0,5,46,0,0,0,0,0,8,0,10,18,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8,0,0,13,5,0,0,0,5,16,0,10,31,0,0,0,0,0,0,0,0,0,262,277,86,9,634,247,21,66,968,241,250,72,12,575,177,14,56,822,3,0,0,0,3,18,0,0,21,0,3,0,0,3,0,0,0,3,3,3,0,0,6,18,0,0,24,3,3,3,0,9,16,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,16,0,6,31,0,0,0,0,0,6,0,33,39,0,0,0,0,0,3,0,0,3,5,0,0,0,5,3,0,0,8,5,0,0,0,5,12,0,33,50,0,0,0,0,0,0,0,3,3,252,256,75,12
LGA10350,8,3,41,28,3,9,81,1172,1898,983,113,4166,2553,244,736,7699,7,13,5,3,28,29,0,11,68,4,5,0,0,9,5,0,0,14,18,49,29,0,96,44,6,30,176,29,67,34,3,133,78,6,41,258,3,0,0,3,6,36,0,4,46,11220,22881,7598,771,42470,11305,1087,2482,57344,8017,18115,5784,568,32484,6410,727,1294,40915,652,1167,524,50,2393,1138,74,157,3762,991,2627,971,68,4657,993,121,237,6008,1643,3794,1495,118,7050,2131,195,394,9770,436,574,324,36,1370,1451,47,235,3103,549,970,561,64,2144,842,113,263,3362,341,621,276,41,1279,419,63,195,1956,24,41,25,0,90,82,4,17,193,1350,2206,1186,141,4883,2794,227,710,8614,5,3,0,0,8,34,0,4,46,0,9,4,0,13,8,0,4,25,25,54,38,0,117,52,11,36,216,30,66,42,0,138,94,11,44,287,11,35,17,0,63,25,6,5,99,11051,24216,8524,827
LGA10470,0,0,4,16,0,0,20,120,32,74,22,248,562,121,49,980,5,6,0,0,11,28,0,17,56,3,0,3,0,6,3,0,0,9,14,8,6,0,28,30,12,0,70,22,14,9,0,45,61,12,17,135,4,16,11,3,34,10,0,3,47,3343,3962,1427,137,8869,3142,617,461,13089,3374,3953,1382,119,8828,2435,396,436,12095,135,75,117,12,339,409,61,55,864,41,30,28,3,102,71,23,23,219,176,105,145,15,441,480,84,78,1083,131,33,49,9,222,549,57,115,943,0,0,0,0,0,20,8,4,32,0,0,0,0,0,4,0,0,4,3,6,7,3,19,18,3,6,46,134,39,56,12,241,591,68,125,1025,5,3,3,3,14,16,0,15,45,0,3,0,0,3,3,0,10,16,10,0,0,0,10,12,0,0,22,15,6,3,3,27,31,0,25,83,5,5,4,0,14,12,5,3,34,3704,4108,1590,149
LGA10550,7,0,14,12,0,0,26,213,78,96,6,393,599,55,87,1134,73,23,12,3,111,121,7,217,456,15,13,10,0,38,8,0,16,62,12,13,3,0,28,21,0,0,49,100,49,25,3,177,150,7,233,567,3,3,0,0,6,13,0,8,27,4016,3272,1238,80,8606,3057,291,673,12627,3882,2874,1103,56,7915,2326,261,425,10927,118,22,49,3,192,269,15,20,496,159,40,35,0,234,148,9,28,419,277,62,84,3,426,417,24,48,915,214,75,103,9,401,566,45,88,1100,0,0,0,0,0,9,0,3,12,0,0,0,0,0,0,0,0,0,3,3,5,0,11,14,0,4,29,217,78,108,9,412,589,45,95,1141,51,14,7,0,72,102,3,172,349,8,5,0,0,13,12,0,14,39,18,6,6,0,30,12,3,4,49,77,25,13,0,115,126,6,190,437,8,0,0,0,8,6,3,0,17,4461,3039,1308,68
LGA10600,3,0,6,3,0,3,12,41,3,16,0,60,156,6,14,236,15,3,7,4,29,86,7,83,205,3,5,0,0,8,10,0,0,18,8,13,4,0,25,7,0,0,32,26,21,11,4,62,103,7,83,255,0,0,0,0,0,0,0,0,0,1470,1272,649,40,3431,1284,139,245,5099,1465,1185,635,24,3309,1035,151,132,4627,7,5,7,0,19,43,3,3,68,11,5,0,0,16,20,3,3,42,18,10,7,0,35,63,6,6,110,15,5,15,0,35,131,4,6,176,3,0,3,0,6,18,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,5,20,0,0,25,23,5,18,0,46,169,4,6,225,33,9,8,4,54,96,4,77,231,5,0,0,0,5,14,0,5,24,3,3,7,0,13,3,3,3,22,41,12,15,4,72,113,7,85,277,0,0,0,0,0,0,0,0,0,1547,1212,675,28
LGA10650,0,0,3,0,0,0,3,49,7,13,0,69,120,9,5,203,20,7,0,0,27,37,0,14,78,0,0,0,0,0,3,0,0,3,3,6,3,0,12,7,0,4,23,23,13,3,0,39,47,0,18,104,3,4,0,0,7,3,0,0,10,1099,825,265,17,2206,853,77,73,3209,1042,709,245,26,2022,782,51,79,2934,31,3,0,0,34,96,0,8,138,5,7,0,0,12,0,0,0,12,36,10,0,0,46,96,0,8,150,32,9,10,0,51,106,4,13,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,10,0,51,106,4,13,174,14,4,4,0,22,35,0,32,89,0,0,0,0,0,4,0,0,4,8,4,6,0,18,6,0,0,24,22,8,10,0,40,45,0,32,117,3,3,0,0,6,0,0,0,6,1135,739,265,26
LGA10750,8,4,39,43,6,4,92,619,687,470,74,1850,1744,154,430,4178,110,34,55,3,202,323,15,78,618,4,4,0,0,8,9,0,0,17,15,22,10,0,47,34,6,6,93,129,60,65,3,257,366,21,84,728,6,11,3,0,20,3,0,3,26,16925,37832,13620,1111,69488,14188,1927,3426,89029,15440,36845,12079,971,65335,10751,1588,2008,79682,705,1238,676,62,2681,1105,83,135,4004,1154,2986,1314,93,5547,1126,177,248,7098,1859,4224,1990,155,8228,2231,260,383,11102,139,58,55,11,263,916,26,93,1298,304,427,203,45,979,480,87,92,1638,487,611,242,56,1396,416,102,115,2029,30,18,17,0,65,71,6,12,154,960,1114,517,112,2703,1883,221,312,5119,36,15,32,5,88,178,10,24,300,3,3,0,0,6,4,0,8,18,18,23,23,3,67,29,6,8,110,57,41,55,8,161,211,16,40,428,15,22,7,0,44,22,5,0,71,18331,42246,14648,1246
LGA10800,0,0,0,3,0,3,6,8,3,3,0,14,36,5,6,61,3,3,0,0,6,18,0,44,68,0,0,0,0,0,0,0,0,0,8,5,0,0,13,7,0,0,20,11,8,0,0,19,25,0,44,88,0,0,0,0,0,0,0,0,0,732,713,193,15,1653,618,38,104,2413,709,639,173,12,1533,552,42,55,2182,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,7,0,5,3,15,64,5,11,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,6,7,3,5,3,18,67,5,11,101,0,0,0,0,0,8,0,37,45,3,0,0,0,3,0,0,0,3,3,11,0,0,14,7,0,0,21,6,11,0,0,17,15,0,37,69,0,0,0,0,0,0,0,0,0,722,653,178,15
LGA10850,0,0,0,3,0,0,3,9,3,6,3,21,48,4,3,76,3,0,0,0,3,5,0,3,11,4,0,0,0,4,0,0,0,4,3,4,0,3,10,3,3,0,16,10,4,0,3,17,8,3,3,31,0,0,0,0,0,0,0,0,0,680,792,261,26,1759,598,42,46,2445,714,790,259,25,1788,589,39,97,2513,9,5,7,3,24,29,0,4,57,4,0,0,0,4,0,0,0,4,13,5,7,3,28,29,0,4,61,3,3,3,3,12,44,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,3,3,3,12,48,0,0,60,0,0,0,0,0,8,0,11,19,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,9,0,0,4,0,4,13,0,11,28,0,0,0,0,0,0,0,0,0,730,798,273,31
LGA10900,5,0,19,51,3,4,77,85,27,66,7,185,501,25,60,771,8,5,3,0,16,6,0,9,31,0,0,0,0,0,0,0,0,0,5,3,3,0,11,15,0,9,35,13,8,6,0,27,21,0,18,66,0,0,0,0,0,0,0,4,4,7218,9186,3026,211,19641,6842,765,1060,28308,7207,9000,2887,166,19260,5999,715,1144,27118,233,81,89,0,403,512,37,55,1007,92,47,54,7,200,253,12,32,497,325,128,143,7,603,765,49,87,1504,54,20,33,0,107,285,24,35,451,10,3,3,3,19,56,4,3,82,0,0,0,0,0,4,0,0,4,14,5,12,0,31,48,0,7,86,78,28,48,3,157,393,28,45,623,3,3,0,0,6,9,0,28,43,3,0,0,0,3,0,0,32,35,5,5,0,3,13,13,0,4,30,11,8,0,3,22,22,0,64,108,4,5,0,0,9,6,7,0,22,7625,9169,3078,179
LGA10950,0,0,0,6,0,0,6,5,3,0,0,8,38,0,6,52,3,0,0,0,3,5,0,14,22,0,0,0,0,0,0,0,0,0,3,0,3,0,6,5,0,0,11,6,0,3,0,9,10,0,14,33,0,0,0,0,0,0,0,0,0,302,332,117,11,762,288,32,35,1117,251,310,125,10,696,261,19,61,1037,3,3,0,0,6,17,0,3,26,0,0,0,0,0,0,0,0,0,3,3,0,0,6,17,0,3,26,3,0,3,0,6,23,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,23,0,3,32,4,0,0,0,4,9,0,37,50,0,0,0,0,0,0,0,4,4,4,0,0,0,4,4,0,0,8,8,0,0,0,8,13,0,41,62,0,0,0,0,0,3,0,7,10,265,313,128,10
LGA11000,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,24,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,3,7,0,0,0,0,0,0,0,0,0,328,260,90,6,684,290,23,45,1042,311,236,90,5,642,306,21,28,997,0,0,0,3,3,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,14,4,0,0,0,4,11,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,11,0,0,15,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,6,0,3,0,0,3,0,0,0,3,0,3,0,0,3,3,0,6,12,0,0,0,0,0,0,0,0,0,315,239,90,8
LGA11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,0,0,0,0,0,0,0,0,0,4,3,0,0,7,4,0,0,11,4,3,0,0,7,8,0,5,20,0,0,0,0,0,0,0,0,0,296,247,78,7,628,279,18,24,949,283,238,86,7,614,286,15,33,948,4,0,0,0,4,25,0,0,29,0,0,3,0,3,0,0,0,3,4,0,3,0,7,25,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,3,9,0,3,0,0,3,5,0,0,8,3,3,3,0,9,8,0,3,20,0,0,0,0,0,0,0,0,0,290,241,92,7
LGA11100,0,0,12,3,0,0,15,1117,1415,655,126,3313,1872,340,438,5963,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,14,29,10,3,56,26,0,12,94,14,32,10,3,59,26,0,12,97,3,3,0,0,6,0,3,0,9,2728,4558,1686,265,9237,3351,560,697,13845,1194,2527,679,99,4499,913,164,210,5786,231,388,172,21,812,253,39,40,1144,182,419,138,12,751,179,34,46,1010,413,807,310,33,1563,432,73,86,2154,156,175,89,27,447,441,40,83,1011,647,1002,461,77,2187,931,219,206,3543,577,392,191,56,1216,714,174,173,2277,0,0,0,0,0,0,0,0,0,1380,1569,741,160,3850,2086,433,462,6831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,11,0,53,13,7,7,80,21,21,11,0,53,13,7,7,80,3,7,0,0,10,20,4,0,34,3011,4931,1741,292
LGA11150,0,0,0,0,0,0,0,6,0,0,0,6,22,0,8,36,0,0,0,4,4,19,0,71,94,0,3,0,0,3,6,0,6,15,3,3,0,0,6,8,0,0,14,3,6,0,4,13,33,0,77,123,0,0,0,0,0,0,0,3,3,234,312,134,22,702,296,26,166,1190,232,250,115,16,613,254,20,124,1011,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,9,13,3,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,13,3,15,40,0,0,0,0,0,13,0,103,116,0,0,0,0,0,0,0,23,23,0,5,0,0,5,0,0,3,8,0,5,0,0,5,13,0,129,147,0,0,0,0,0,0,0,6,6,235,258,118,16
LGA11200,0,0,0,0,0,0,0,9,0,0,0,9,17,0,3,29,0,0,0,0,0,6,0,4,10,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,4,0,0,0,4,6,0,4,14,0,0,0,0,0,0,0,3,3,141,165,106,12,424,141,7,48,620,108,142,93,19,362,149,19,38,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,20,18,0,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,20,18,0,7,45,0,0,4,0,4,0,0,7,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,4,0,7,0,0,7,14,0,0,0,0,0,3,0,0,3,119,146,105,19
LGA11250,3,0,6,9,0,3,18,28,15,34,3,80,208,6,39,333,9,4,0,0,13,10,0,117,140,0,3,0,0,3,0,0,3,6,3,9,0,0,12,13,0,6,31,12,16,0,0,28,23,0,126,177,3,3,0,0,6,0,0,0,6,2103,1850,1015,64,5032,2520,142,458,8152,2003,1590,969,68,4630,2244,142,396,7412,7,4,7,0,18,56,0,37,111,0,0,0,0,0,0,0,0,0,7,4,7,0,18,56,0,37,111,26,17,23,3,69,167,7,33,276,0,0,0,0,0,0,0,0,0,18,14,10,0,42,28,0,4,74,0,3,0,0,3,0,0,0,3,44,34,33,3,114,195,7,37,353,9,0,0,0,9,9,0,140,158,0,0,0,0,0,0,0,3,3,3,0,3,0,6,3,0,0,9,12,0,3,0,15,12,0,143,170,0,4,0,0,4,0,0,5,9,2066,1632,1012,71
LGA11300,4,0,7,3,3,3,16,752,637,383,139,1911,1081,513,339,3844,3,3,0,0,6,0,0,0,6,0,0,0,0,0,3,0,0,3,7,15,4,0,26,9,3,4,42,10,18,4,0,32,12,3,4,51,0,0,0,0,0,0,0,0,0,2171,3658,1113,266,7208,2222,788,669,10887,1174,2620,634,114,4542,850,239,163,5794,165,261,80,21,527,229,37,26,819,73,155,56,3,287,98,20,16,421,238,416,136,24,814,327,57,42,1240,196,147,95,15,453,301,112,93,959,373,312,160,66,911,367,234,81,1593,358,307,160,56,881,326,210,106,1523,3,6,0,3,12,14,4,4,34,930,772,415,140,2257,1008,560,284,4109,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,17,14,3,0,34,21,6,17,78,17,14,3,0,34,21,6,21,82,0,3,3,0,6,5,0,3,14,2359,3825,1191,278
LGA11350,6,0,15,33,3,3,54,108,45,120,6,279,414,53,151,897,64,21,29,0,114,200,10,227,551,0,0,0,0,0,94,0,23,117,6,13,4,0,23,28,7,10,68,70,34,33,0,137,322,17,260,736,3,0,0,0,3,3,0,3,9,2532,2813,1668,88,7101,2852,760,1232,11945,2361,2656,1341,71,6429,2131,638,569,9767,82,58,71,3,214,205,47,40,506,124,68,96,9,297,177,85,73,632,206,126,167,12,511,382,132,113,1138,65,29,81,3,178,264,33,87,562,14,0,8,0,22,37,4,15,78,3,3,3,0,9,0,0,0,9,4,3,6,0,13,33,9,8,63,86,35,98,3,222,334,46,110,712,49,11,22,3,85,189,20,250,544,0,0,0,0,0,10,0,149,159,8,4,5,0,17,31,0,7,55,57,15,27,3,102,230,20,406,758,3,7,0,0,10,12,0,6,28,2713,2839,1633,89
