region_id,C06_C_Jeh_Wit_0_14,C06_C_Jeh_Wit_15_24,C06_C_Jeh_Wit_25_34,C06_C_Jeh_Wit_35_44,C06_C_Jeh_Wit_45_54,C06_C_Jeh_Wit_55_64,C06_C_Jeh_Wit_65_74,C06_C_Jeh_Wit_75_84,C06_C_Jeh_Wit_85ov,C06_C_Jeh_Wit_Tot,C06_C_Lat_Da_Saint_0_14,C06_C_Lat_Da_Saint_15_24,C06_C_Lat_Da_Saint_25_34,C06_C_Lat_Da_Saint_35_44,C06_C_Lat_Da_Saint_45_54,C06_C_Lat_Da_Saint_55_64,C06_C_Lat_Da_Saint_65_74,C06_C_Lat_Da_Saint_75_84,C06_C_Lat_Da_Saint_85ov,C06_C_Lat_Da_Saint_Tot,C06_C_Luthe_0_14,C06_C_Luthe_15_24,C06_C_Luthe_25_34,C06_C_Luthe_35_44,C06_C_Luthe_45_54,C06_C_Luthe_55_64,C06_C_Luthe_65_74,C06_C_Luthe_75_84,C06_C_Luthe_85ov,C06_C_Luthe_Tot,C06_C_Ori_Orth_0_14,C06_C_Ori_Orth_15_24,C06_C_Ori_Orth_25_34,C06_C_Ori_Orth_35_44,C06_C_Ori_Orth_45_54,C06_C_Ori_Orth_55_64,C06_C_Ori_Orth_65_74,C06_C_Ori_Orth_75_84,C06_C_Ori_Orth_85ov,C06_C_Ori_Orth_To,C06_C_Oth_Prot_0_14,C06_C_Oth_Prot_15_24,C06_C_Oth_Prot_25_34,C06_C_Oth_Prot_35_44,C06_C_Oth_Prot_45_54,C06_C_Oth_Prot_55_64,C06_C_Oth_Prot_65_74,C06_C_Oth_Prot_75_84,C06_C_Oth_Prot_85ov,C06_C_Oth_Prot_Tot,C06_C_Pentec_0_14,C06_C_Pentec_15_24,C06_C_Pentec_25_34,C06_C_Pentec_35_44,C06_C_Pentec_45_54,C06_C_Pentec_55_64,C06_C_Pentec_65_74,C06_C_Pentec_75_84,C06_C_Pentec_85ov,C06_C_Pentec_Tot,C06_C_Pres_Ref_0_14,C06_C_Pres_Ref_15_24,C06_C_Pres_Ref_25_34,C06_C_Pres_Ref_35_44,C06_C_Pres_Ref_45_54,C06_C_Pres_Ref_55_64,C06_C_Pres_Ref_65_74,C06_C_Pres_Ref_75_84,C06_C_Pres_Ref_85ov,C06_C_Pres_Ref_Tot,C06_C_Sal_Army_0_14,C06_C_Sal_Army_15_24,C06_C_Sal_Army_25_34,C06_C_Sal_Army_35_44,C06_C_Sal_Army_45_54,C06_C_Sal_Army_55_64,C06_C_Sal_Army_65_74,C06_C_Sal_Army_75_84,C06_C_Sal_Army_85ov,C06_C_Sal_Army_Tot,C06_C_Sev_day_Adv_0_14,C06_C_Sev_day_Adv_15_24,C06_C_Sev_day_Adv_25_34,C06_C_Sev_day_Adv_35_44,C06_C_Sev_day_Adv_45_54,C06_C_Sev_day_Adv_55_64,C06_C_Sev_day_Adv_65_74,C06_C_Sev_day_Adv_75_84,C06_C_Sev_day_Adv_85oe,C06_C_Sev_day_Adv_Tot,C06_C_Unit_Chur_0_14,C06_C_Unit_Chur_15_24,C06_C_Unit_Chur_25_34,C06_C_Unit_Chur_35_44,C06_C_Unit_Chur_45_54,C06_C_Unit_Chur_55_64,C06_C_Unit_Chur_65_74,C06_C_Unit_Chur_75_84,C06_C_Unit_Chur_85ov,C06_C_Unit_Chur_Tot,C06_C_Christi_nfd_0_14,C06_C_Christi_nfd_15_24,C06_C_Christi_nfd_25_34,C06_C_Christi_nfd_35_44,C06_C_Christi_nfd_45_54,C06_C_Christi_nfd_55_64,C06_C_Christi_nfd_65_74,C06_C_Christi_nfd_75_84,C06_C_Christi_nfd_85ov,C06_C_Christi_nfd_Tot,C06_C_Oth_Chris_0_14,C06_C_Oth_Chris_15_24,C06_C_Oth_Chris_25_34,C06_C_Oth_Chris_35_44,C06_C_Oth_Chris_45_54,C06_C_Oth_Chris_55_64,C06_C_Oth_Chris_65_74,C06_C_Oth_Chris_75_84,C06_C_Oth_Chris_85ov,C06_C_Oth_Chris_Tot,C06_Christia_Tot_0_14,C06_Christia_Tot_15_24,C06_Christia_Tot_25_34,C06_Christia_Tot_35_44,C06_Christia_Tot_45_54,C06_Christia_Tot_55_64,C06_Christia_Tot_65_74,C06_Christia_Tot_75_84,C06_Christia_Tot_85ov,C06_Christ_T_T,C06_Hinduism_0_14,C06_Hinduism_15_24,C06_Hinduism_25_34,C06_Hinduism_35_44,C06_Hinduism_45_54,C06_Hinduism_55_64,C06_Hinduism_65_74,C06_Hinduism_75_84,C06_Hinduism_85ov,C06_Hinduism_Tot,C06_Islam_0_14,C06_Islam_15_24,C06_Islam_25_34,C06_Islam_35_44,C06_Islam_45_54,C06_Islam_55_64,C06_Islam_65_74,C06_Islam_75_84,C06_Islam_85ov,C06_Islam_Tot,C06_Judaism_0_14,C06_Judaism_15_24,C06_Judaism_25_34,C06_Judaism_35_44,C06_Judaism_45_54,C06_Judaism_55_64,C06_Judaism_65_74,C06_Judaism_75_84,C06_Judaism_85ov,C06_Judaism_Tot,C06_OR_AusAborTrad_0_14,C06_OR_AusAborTrad15_24,C06_OR_AusAborTrad25_34,C06_OR_AusAborTrad35_44,C06_OR_AusAborTrad45_54,C06_OR_AusAborTrad55_64,C06_OR_AusAborTrad65_74,C06_OR_AusAborTrad75_84,C06_OR_AusAborTrad85oe,C06_OR_AusAborTrade_Tot,C06_OR_Ot_Re_Gr_0_14,C06_OR_Ot_Re_Gr_15_24,C06_OR_Ot_Re_Gr_25_34,C06_OR_Ot_Re_Gr_35_44,C06_OR_Ot_Re_Gr_45_54,C06_OR_Ot_Re_Gr_55_64,C06_OR_Ot_Re_Gr_65_74,C06_OR_Ot_Re_Gr_75_84,C06_OR_Ot_Re_Gr_85ov,C06_OR_Ot_Re_Gr_Tot,C06_OthRel_T_0_14,C06_OthRel_T_15_24,C06_OthRel_T_25_34,C06_OthRel_T_35_44,C06_OthRel_T_45_54,C06_OthRel_T_55_64,C06_OthRel_T_65_74,C06_OthRel_T_75_84,C06_OthRel_T_85ov,C06_OthRel_T_T,C06_NoRel_0_14,C06_NoRel_15_24,C06_NoRel_25_34,C06_NoRel_35_44,C06_NoRel_45_54,C06_NoRel_55_64,C06_NoRel_65_74,C06_NoRel_75_84,C06_NoRel_85ov,C06_NoRel_Tot
LGA10050,26,28,24,11,21,23,6,11,5,155,5,9,6,8,12,6,7,3,0,56,316,183,129,212,196,157,118,129,55,1495,0,0,3,0,0,3,0,0,0,6,18,5,3,14,12,8,3,3,0,66,123,95,68,73,79,49,29,9,3,528,219,180,219,256,386,347,244,200,88,2139,36,26,24,25,26,25,15,11,9,197,47,33,26,30,40,27,8,17,7,235,439,403,285,366,507,373,248,215,73,2909,149,124,82,94,101,47,26,16,8,647,12,0,0,7,14,5,0,0,0,38,6297,4705,3793,4549,5027,3855,2497,1957,729,33409,12,15,23,9,6,8,0,0,0,73,30,18,32,15,10,4,0,0,0,109,0,7,6,0,5,4,0,0,0,22,0,0,3,0,0,0,0,0,0,3,16,32,29,21,25,8,3,0,0,134,16,32,32,21,25,8,3,0,0,137,2096,1510,1218,1023,963,537,199,124,36,7706
LGA10110,14,11,5,14,12,11,6,6,3,82,11,6,6,11,5,6,0,0,0,45,18,22,9,20,14,7,13,3,3,109,0,4,0,0,0,0,0,0,0,4,8,8,3,3,4,5,0,3,0,34,51,55,17,41,21,20,11,3,0,219,160,209,111,175,212,186,158,147,57,1415,30,16,10,22,25,22,10,4,0,139,44,31,28,26,15,16,10,3,0,173,175,246,76,140,170,139,104,71,16,1137,72,101,45,30,54,34,16,10,3,365,6,0,3,3,6,3,3,3,3,30,3187,3657,1499,2128,2215,1752,1286,829,286,16839,7,9,22,8,11,0,3,0,0,60,32,17,30,23,12,6,0,0,0,120,3,3,3,3,3,0,3,0,0,18,3,3,0,3,0,0,0,0,0,9,10,52,17,15,23,17,0,0,0,134,13,55,17,18,23,17,0,0,0,143,757,1175,460,432,543,330,125,103,21,3946
LGA10150,12,10,13,12,10,10,9,3,3,82,20,10,16,9,3,0,4,0,0,62,0,12,22,28,23,19,15,9,8,136,10,9,16,3,7,14,4,4,0,67,17,16,15,8,18,8,3,3,4,92,40,43,67,42,36,19,15,6,0,268,114,77,144,140,140,113,62,70,63,923,4,4,4,3,10,4,3,0,7,39,4,6,4,5,7,8,0,5,4,43,172,91,114,147,145,98,41,52,55,915,68,56,84,67,55,35,16,10,7,398,0,4,8,3,18,9,5,0,0,47,3347,2234,3287,3499,2907,2430,1970,1593,803,22070,221,344,605,172,81,42,18,4,3,1490,103,137,175,87,58,31,16,6,3,616,17,7,9,15,10,11,5,4,0,78,0,0,0,4,0,0,0,0,0,4,35,41,88,63,31,15,3,5,0,281,35,41,88,67,31,15,3,5,0,285,1410,1363,1700,1603,1252,572,255,125,39,8319
LGA10200,25,22,22,24,13,23,8,7,0,144,29,16,26,12,9,12,3,0,0,107,16,7,12,24,13,18,18,11,8,127,40,28,38,38,26,21,13,3,0,207,40,32,30,36,22,13,6,0,0,179,106,122,92,55,70,39,14,8,4,510,192,151,209,185,179,119,69,67,34,1205,30,13,17,8,12,9,10,8,3,110,28,18,26,25,9,15,5,3,3,132,297,187,217,190,162,141,70,71,29,1364,121,171,154,120,99,49,18,7,3,742,15,13,11,11,3,3,0,3,0,59,4089,3285,3488,3287,3111,2601,1784,1487,534,23666,319,374,525,293,248,130,65,33,6,1993,5175,3149,3006,2235,1342,737,328,78,17,16067,3,4,6,0,4,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,53,101,121,52,45,32,5,4,0,413,53,101,121,52,45,32,5,4,0,413,1442,1408,1378,1328,1142,478,256,127,29,7588
LGA10250,34,34,23,38,35,25,20,11,4,224,24,13,7,14,6,5,5,7,0,81,27,12,13,26,24,24,25,19,4,174,0,0,0,0,0,0,0,0,0,0,4,8,3,3,7,9,3,3,3,43,131,61,44,71,73,49,27,7,0,463,168,112,135,259,359,383,314,314,111,2155,20,8,17,16,22,22,15,16,0,136,39,21,8,30,41,36,37,46,13,271,270,207,149,237,387,392,350,368,152,2512,174,109,66,82,142,66,31,38,12,720,12,3,5,7,9,8,9,6,0,59,4654,2658,2184,3547,4222,3801,3039,2611,898,27614,4,3,0,7,7,0,3,0,0,24,5,3,0,4,3,3,3,0,0,21,10,4,7,6,12,7,4,4,0,54,0,0,3,0,0,0,0,0,0,3,23,20,22,31,33,17,4,3,0,153,23,20,25,31,33,17,4,3,0,156,1674,938,864,912,1079,707,329,214,54,6771
LGA10300,0,3,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,3,3,6,3,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,3,3,3,3,0,3,0,0,0,15,36,14,24,35,46,31,34,29,0,249,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,12,19,8,24,33,23,15,6,4,144,3,7,3,4,8,7,4,3,4,43,0,0,0,0,0,0,0,0,0,0,356,191,231,284,345,227,177,112,23,1946,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,53,48,46,28,35,9,0,3,319
LGA10350,66,44,41,61,68,49,39,30,5,403,116,57,67,50,55,24,13,9,3,394,48,30,41,55,76,90,121,165,58,684,239,174,170,152,155,89,51,24,5,1059,144,98,68,119,81,70,52,51,23,706,386,302,243,259,179,119,56,21,7,1572,345,279,267,435,533,464,355,397,120,3195,35,37,24,36,45,38,49,43,30,337,67,43,45,44,40,19,18,12,0,288,549,518,343,441,490,499,334,441,125,3740,368,278,258,197,195,129,55,36,13,1529,48,37,44,37,39,24,26,16,20,291,19024,13210,12469,14020,13705,12134,8852,7910,2203,103527,278,186,307,200,196,97,44,23,3,1334,9165,4955,4366,3307,2261,1213,474,195,46,25982,5,3,5,9,10,11,6,7,5,61,0,0,3,0,0,0,0,0,0,3,142,151,164,124,133,78,35,15,3,845,142,151,167,124,133,78,35,15,3,848,2791,1805,1845,1985,1772,940,529,374,94,12135
LGA10470,20,29,13,19,13,14,10,3,3,124,10,17,0,4,10,4,0,0,0,45,20,18,13,24,14,18,17,4,3,131,0,0,0,0,0,3,0,0,0,3,9,11,3,8,11,4,4,3,0,53,69,38,25,37,28,23,11,6,0,237,206,234,159,243,333,245,161,163,47,1791,34,22,28,20,27,13,9,6,0,159,24,6,4,7,5,7,5,0,3,61,277,345,178,247,295,287,161,106,43,1939,115,101,61,62,56,49,8,3,5,460,4,5,3,3,3,6,0,3,0,27,5493,4890,2962,3629,3863,3120,1931,1336,479,27703,15,8,10,6,15,3,0,0,0,57,24,19,20,6,8,3,0,0,0,80,104,8,5,3,0,0,0,0,4,124,5,0,3,0,3,3,0,0,0,14,17,35,24,21,23,12,3,0,0,135,22,35,27,21,26,15,3,0,0,149,1165,1044,599,519,511,302,121,70,19,4350
LGA10550,32,19,21,25,30,20,16,7,4,174,10,9,3,8,11,7,0,4,0,52,19,10,11,29,30,31,50,34,6,220,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,12,6,5,5,44,26,10,4,18,25,12,13,7,0,115,68,65,58,130,195,263,253,178,50,1260,25,6,5,15,17,11,18,3,0,100,30,16,7,11,18,13,11,3,3,112,203,129,73,163,298,317,277,219,73,1752,157,54,32,77,91,76,40,15,7,549,3,3,3,8,5,8,3,3,4,40,3381,1792,1403,2549,3278,3257,2687,1816,522,20685,4,3,3,6,3,3,3,0,0,25,4,3,0,12,5,4,3,0,3,34,4,0,0,3,8,3,4,0,0,22,0,0,0,4,0,3,0,0,0,7,20,7,18,23,38,20,7,0,0,133,20,7,18,27,38,23,7,0,0,140,1813,873,657,944,1176,815,374,171,62,6885
LGA10600,11,3,11,3,11,5,3,3,0,50,0,0,0,0,3,0,0,0,0,3,0,6,0,6,8,4,10,4,3,41,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,3,0,0,15,51,38,10,30,41,23,6,5,0,204,25,15,12,44,66,80,60,46,14,362,4,4,0,0,5,9,4,0,0,26,5,0,0,5,4,4,4,4,0,26,152,88,49,119,141,146,146,107,47,995,70,20,10,25,46,23,11,3,0,208,13,3,0,7,7,6,5,3,0,44,1244,589,436,952,1149,1156,1002,629,226,7383,0,0,3,3,3,3,0,0,0,12,4,3,3,5,3,0,0,0,0,18,8,0,0,5,6,0,0,5,0,24,0,0,0,0,3,0,0,0,0,3,20,3,14,13,27,13,0,3,0,93,20,3,14,13,30,13,0,3,0,96,863,380,272,430,614,350,173,75,18,3175
LGA10650,6,3,4,0,10,3,0,0,0,26,22,13,4,4,5,5,5,0,0,58,3,0,6,3,9,6,5,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,5,3,7,3,4,3,0,0,34,79,42,53,72,112,118,95,96,50,717,0,0,0,3,3,0,3,0,0,9,4,0,0,0,3,3,0,0,0,10,128,80,59,108,133,141,112,89,26,876,10,5,8,5,8,10,7,0,0,53,3,0,3,0,0,0,0,0,0,6,1075,520,496,681,902,906,715,526,187,6008,3,0,4,0,0,0,4,0,0,11,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,6,0,0,3,0,0,4,0,3,0,10,0,0,6,3,0,4,0,3,0,16,341,146,164,141,141,127,63,29,7,1159
LGA10750,188,140,163,169,164,117,75,47,5,1068,749,378,314,236,214,118,36,17,9,2071,103,73,109,127,125,159,133,109,48,986,660,470,379,337,412,289,155,70,14,2786,450,317,228,275,246,127,63,24,10,1740,1706,1070,847,981,752,321,99,48,9,5833,1023,722,778,1042,1010,914,549,300,70,6408,149,84,99,115,103,94,63,23,9,739,341,221,200,206,180,152,76,48,36,1460,2135,1343,1141,1145,1195,827,472,241,70,8569,1312,812,629,735,570,264,106,45,14,4487,165,119,89,96,93,60,22,13,3,660,43862,27240,27538,28554,25810,19667,10620,6108,1618,191017,2543,1249,2098,2013,1156,520,234,92,13,9918,3889,2124,2144,1972,1339,677,227,71,12,12455,12,19,16,23,21,25,13,3,5,137,7,3,3,3,0,0,0,0,0,16,1049,645,811,738,484,180,97,33,3,4040,1056,648,814,741,484,180,97,33,3,4056,8412,4320,4626,3747,2639,1443,550,256,86,26079
LGA10800,3,6,0,0,8,10,4,6,0,37,0,3,0,0,0,0,0,0,0,3,29,20,10,21,14,16,18,3,3,134,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,3,0,13,3,3,0,3,10,8,5,0,0,32,63,36,51,56,107,82,66,64,11,536,13,9,8,5,7,10,8,3,3,66,0,0,0,0,0,4,3,0,0,7,83,63,62,64,101,68,48,49,15,553,54,14,11,22,12,15,18,8,3,157,0,0,3,0,0,0,0,0,0,3,1105,504,557,688,782,652,510,369,99,5266,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,163,60,86,59,73,49,16,7,0,513
LGA10850,4,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,3,6,3,3,5,4,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,3,0,0,16,23,6,4,11,10,6,0,0,0,60,40,20,31,50,36,65,55,34,11,342,5,3,3,4,3,5,0,0,0,23,5,5,3,0,3,0,3,0,3,22,97,56,43,83,76,93,65,37,3,553,19,3,6,12,11,4,9,0,3,67,0,0,0,0,0,0,0,0,0,0,1184,557,443,779,748,645,505,291,74,5226,0,0,0,3,3,0,0,0,0,6,3,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,3,0,0,4,0,0,26,6,6,7,3,0,0,4,0,0,26,196,95,101,89,88,72,25,4,4,674
LGA10900,50,39,40,52,68,38,37,20,4,348,62,38,19,28,35,29,10,5,3,229,54,38,28,62,77,79,80,52,8,478,0,0,3,0,3,3,3,0,3,15,14,15,10,22,27,11,10,9,0,118,272,184,122,140,152,70,22,12,0,974,325,255,208,348,497,479,313,221,104,2750,64,34,30,36,35,34,21,10,4,268,26,7,20,27,20,21,17,10,3,151,524,424,215,369,521,463,330,250,113,3209,418,292,179,236,307,146,79,29,7,1693,12,8,12,27,40,29,37,9,3,177,9221,5560,4351,6491,7490,6154,3817,2566,950,46600,26,19,15,24,41,20,7,3,0,155,44,36,32,28,25,14,8,3,0,190,12,9,10,25,18,35,4,13,3,129,4,3,0,0,4,0,0,0,0,11,96,70,120,154,122,75,13,12,0,662,100,73,120,154,126,75,13,12,0,673,3806,2205,2045,2472,2588,1770,728,378,91,16083
LGA10950,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,7,8,3,13,16,15,21,14,3,0,93,5,4,3,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,59,25,30,44,35,44,37,16,9,299,5,5,4,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,578,208,281,382,306,360,258,122,34,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,41,32,22,18,16,3,0,224
LGA11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,11,4,3,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,10,0,4,0,0,0,3,0,0,17,26,13,13,24,28,29,32,19,15,199,3,3,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,3,3,5,6,17,14,4,0,3,55,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,358,152,167,263,273,294,189,126,68,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,9,0,0,0,0,3,3,3,0,0,9,76,47,27,42,53,34,13,7,0,299
LGA11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,5,3,5,6,16,9,12,3,3,62,0,0,0,0,0,6,0,3,0,9,0,0,0,0,0,0,0,0,0,0,29,17,12,24,30,31,28,17,4,192,9,0,3,3,3,5,0,0,0,23,0,3,0,0,0,0,0,0,0,3,352,157,157,241,297,297,198,135,37,1871,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,3,0,3,0,0,6,76,31,28,22,30,30,6,0,3,226
LGA11100,8,3,13,16,12,20,6,7,3,88,42,27,44,20,13,14,10,3,0,173,12,6,15,20,20,16,14,12,0,115,35,31,33,28,30,45,42,16,3,263,20,10,16,14,13,10,6,4,0,93,76,52,68,53,46,17,8,4,0,324,70,65,101,135,111,112,65,47,23,729,3,3,7,5,4,0,5,5,0,32,4,5,9,0,13,6,3,0,0,40,138,110,89,111,129,93,57,45,20,792,76,60,72,68,35,37,12,0,6,366,0,5,8,9,10,4,4,4,0,44,4099,2810,3236,3652,3259,2948,2153,1501,507,24165,119,84,170,102,67,46,16,4,0,608,671,475,641,477,321,141,61,11,3,2801,91,41,41,66,64,49,48,33,9,442,0,0,0,0,0,0,0,0,0,0,22,20,31,20,22,15,12,6,3,151,22,20,31,20,22,15,12,6,3,151,724,566,725,645,472,298,157,81,16,3684
LGA11150,0,0,0,0,0,3,0,0,3,6,0,0,0,0,3,3,3,0,0,9,0,0,3,0,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,10,0,0,0,0,0,29,9,4,24,20,27,38,23,10,4,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,15,14,19,28,17,4,0,123,39,10,15,19,13,14,5,0,0,115,0,0,0,0,0,0,0,0,0,0,665,329,319,371,381,345,206,100,22,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,24,49,40,25,27,14,4,3,252
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,3,0,0,3,0,0,0,0,6,0,7,4,6,3,12,8,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,6,11,5,11,4,0,0,44,12,3,5,0,3,5,0,4,0,32,0,0,0,0,0,0,0,0,0,0,345,173,153,230,188,145,73,56,14,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,8,111,62,44,51,14,14,6,0,0,302
LGA11250,0,3,10,6,7,10,12,0,0,48,19,13,11,11,5,8,4,0,0,71,54,23,32,30,34,32,17,12,6,240,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,16,38,16,22,22,27,17,11,3,0,156,24,10,21,40,44,57,43,51,7,297,26,35,20,30,56,35,38,18,11,269,5,3,6,0,9,9,6,5,3,46,313,190,149,288,482,462,382,330,86,2682,54,24,32,25,32,14,11,4,3,199,0,0,0,3,3,0,3,0,0,9,1852,1154,1041,1523,2009,1794,1465,1062,283,12183,4,0,4,5,0,0,0,4,0,17,10,0,4,6,4,0,0,0,0,24,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,3,9,3,6,8,6,3,0,0,3,38,9,3,9,8,6,3,0,0,3,41,1295,689,598,610,529,340,173,99,23,4356
LGA11300,19,8,15,15,11,7,15,3,3,96,5,7,7,3,7,0,0,0,0,29,11,13,8,13,14,19,13,21,5,117,23,36,19,17,15,23,9,0,0,142,13,7,14,10,14,4,4,3,0,69,47,50,60,51,34,15,12,3,0,272,183,161,187,181,135,106,53,50,28,1084,11,6,7,6,12,10,7,7,5,71,7,5,10,4,10,3,0,7,0,46,132,115,134,110,126,90,75,61,23,866,64,75,53,70,42,19,3,6,8,340,3,3,3,3,4,3,0,3,0,22,3032,2324,2415,2604,2335,2018,1602,1353,528,18211,191,409,604,177,113,76,33,28,6,1637,83,137,117,61,63,36,19,9,3,528,4,7,7,0,6,6,4,4,0,38,0,0,0,0,0,0,0,0,0,0,6,44,51,19,12,13,4,0,3,152,6,44,51,19,12,13,4,0,3,152,783,1192,1008,794,707,283,207,125,49,5148
LGA11350,20,21,17,20,29,16,8,3,0,134,6,8,3,3,3,3,0,0,0,26,15,13,10,24,31,25,14,7,0,139,0,0,0,0,0,0,0,0,0,0,4,9,11,4,9,8,3,4,0,52,30,32,21,19,41,32,9,4,0,188,87,38,55,111,177,167,117,121,44,917,5,0,3,3,6,3,4,3,3,30,10,10,3,10,18,12,16,15,3,97,185,131,109,182,254,224,188,144,50,1467,89,65,34,55,93,51,27,11,3,428,0,3,3,7,9,4,0,3,0,29,2020,1358,1148,1836,2473,1876,1261,1066,340,13378,17,7,9,10,25,6,7,0,0,81,3,7,10,6,10,11,0,3,0,50,51,12,32,41,40,31,5,3,4,219,0,0,5,4,6,0,0,0,0,15,54,39,63,96,108,47,5,3,3,418,54,39,68,100,114,47,5,3,3,433,2104,1105,1187,1402,1539,922,303,164,35,8761
LGA11400,0,0,0,3,0,0,0,0,0,3,5,0,0,5,0,0,4,0,0,14,4,3,0,8,4,8,9,7,0,43,0,0,0,0,0,3,0,0,0,3,9,8,5,0,9,0,4,0,0,35,20,12,7,11,11,3,3,3,0,70,57,28,32,72,77,83,47,39,7,442,6,0,0,4,11,13,3,0,4,41,5,0,7,3,0,4,0,3,0,22,221,125,103,162,205,211,156,89,42,1314,47,24,22,15,21,17,11,7,3,167,3,0,0,0,0,4,0,0,0,7,2206,980,952,1401,1474,1396,969,562,186,10126,0,0,0,3,0,3,3,0,0,9,5,0,0,0,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6,9,8,0,0,0,0,29,0,6,6,9,8,0,0,0,0,29,310,114,130,171,166,112,72,29,7,1111
