region_id,C01_SH_0b_NPFH_2,C01_SH_0b_NPFH_3,C01_SH_0b_NPFH_4,C01_SH_0b_NPFH_5,C01_SH_0b_NPFH_6_mor,C01_SH_0bTotal,C01_SH_1b_NPFH_2,C01_SH_1b_NPFH_3,C01_SH_1b_NPFH_4,C01_SH_1b_NPFH_5,C01_SH_1b_NPFH_6_mor,C01_SH_1b_Tot,C01_SH_2b_NPFH_2,C01_SH_2b_NPFH_3,C01_SH_2b_NPFH_4,C01_SH_2b_NPFH_5,C01_SH_2b_NPFH_6_mor,C01_SH_2b_Tot,C01_SH_3b_NPFH_2,C01_SH_3b_NPFH_3,C01_SH_3b_NPFH_4,C01_SH_3b_NPFH_5,C01_SH_3b_NPFH_6_mor,C01_SH_3b_Tot,C01_SH_4mb_NPFH_2,C01_SH_4mb_NPFH_3,C01_SH_4mb_NPFH_4,C01_SH_4mb_NPFH_5,C01_SH_4mb_NPFH_6_mor,C01_SH_4mb_Tot,C01_SH_NB_NS_NPFH_2,C01_SH_NB_NS_NPFH_3,C01_SH_NB_NS_NPFH_4,C01_SH_NB_NS_NPFH_5,C01_SH_NB_NS_NPFH_6_mor,C01_SH_NB_NS_T,C01_SH_Tot_NPFH_2,C01_SH_Tot_NPFH_3,C01_SH_Tot_NPFH_4,C01_SH_Tot_NPFH_5,C01_SH_Tot_NPFH_6_mor,C01_SH_T_T,C01_SDRTHT_0b_NPFH_2,C01_SDRTHT_0b_NPFH_3,C01_SDRTHT_0b_NPFH_4,C01_SDRTHT_0b_NPFH_5,C01_SDRTHT_0b_NPFH_6_mor,C01_SDRTHT_0bTotal,C01_SDRTHT_1b_NPFH_2,C01_SDRTHT_1b_NPFH_3,C01_SDRTHT_1b_NPFH_4,C01_SDRTHT_1b_NPFH_5,C01_SDRTHT_1b_NPFH_6_mor,C01_SDRTHT_1b_Tot,C01_SDRTHT_2b_NPFH_2,C01_SDRTHT_2b_NPFH_3,C01_SDRTHT_2b_NPFH_4,C01_SDRTHT_2b_NPFH_5,C01_SDRTHT_2b_NPFH_6_mor,C01_SDRTHT_2b_Tot,C01_SDRTHT_3b_NPFH_2,C01_SDRTHT_3b_NPFH_3,C01_SDRTHT_3b_NPFH_4,C01_SDRTHT_3b_NPFH_5,C01_SDRTHT_3b_NPFH_6_mor,C01_SDRTHT_3b_Tot,C01_SDRTHT_4mb_NPFH_2,C01_SDRTHT_4mb_NPFH_3,C01_SDRTHT_4mb_NPFH_4,C01_SDRTHT_4mb_NPFH_5,C01_SDRTHT_4mb_NPFH_6_mor,C01_SDRTHT_4mb_Tot,C01_SDRTHT_NB_NS_NPFH_2,C01_SDRTHT_NB_NS_NPFH_3,C01_SDRTHT_NB_NS_NPFH_4,C01_SDRTHT_NB_NS_NPFH_5,C01_SDRTHT_NB_NS_NPFH_6_mor,C01_SDRTHT_NB_NS_T,C01_SDRTHT_Tot_NPFH_2,C01_SDRTHT_Tot_NPFH_3,C01_SDRTHT_Tot_NPFH_4,C01_SDRTHT_Tot_NPFH_5,C01_SDRTHT_Tot_NPFH_6_mor,C01_SDRTHT_T_T,C01_FUA_0b_NPFH_2,C01_FUA_0b_NPFH_3,C01_FUA_0b_NPFH_4,C01_FUA_0b_NPFH_5,C01_FUA_0b_NPFH_6_mor,C01_FUA_0bTotal,C01_FUA_1b_NPFH_2,C01_FUA_1b_NPFH_3,C01_FUA_1b_NPFH_4,C01_FUA_1b_NPFH_5,C01_FUA_1b_NPFH_6_mor,C01_FUA_1b_Tot,C01_FUA_2b_NPFH_2,C01_FUA_2b_NPFH_3,C01_FUA_2b_NPFH_4,C01_FUA_2b_NPFH_5,C01_FUA_2b_NPFH_6_mor,C01_FUA_2b_Tot,C01_FUA_3b_NPFH_2,C01_FUA_3b_NPFH_3,C01_FUA_3b_NPFH_4,C01_FUA_3b_NPFH_5,C01_FUA_3b_NPFH_6_mor,C01_FUA_3b_Tot,C01_FUA_4mb_NPFH_2,C01_FUA_4mb_NPFH_3,C01_FUA_4mb_NPFH_4,C01_FUA_4mb_NPFH_5,C01_FUA_4mb_NPFH_6_mor,C01_FUA_4mb_Tot,C01_FUA_NB_NS_NPFH_2,C01_FUA_NB_NS_NPFH_3,C01_FUA_NB_NS_NPFH_4,C01_FUA_NB_NS_NPFH_5,C01_FUA_NB_NS_NPFH_6_mor,C01_FUA_NB_NS_T,C01_FUA_Tot_NPFH_2,C01_FUA_Tot_NPFH_3,C01_FUA_Tot_NPFH_4,C01_FUA_Tot_NPFH_5,C01_FUA_Tot_NPFH_6_mor,C01_FUA_T_T,C01_OD_0b_NPFH_2,C01_OD_0b_NPFH_3,C01_OD_0b_NPFH_4,C01_OD_0b_NPFH_5,C01_OD_0b_NPFH_6_mor,C01_OD_0bTotal,C01_OD_1b_NPFH_2,C01_OD_1b_NPFH_3,C01_OD_1b_NPFH_4,C01_OD_1b_NPFH_5,C01_OD_1b_NPFH_6_mor,C01_OD_1b_Tot,C01_OD_2b_NPFH_2,C01_OD_2b_NPFH_3,C01_OD_2b_NPFH_4,C01_OD_2b_NPFH_5,C01_OD_2b_NPFH_6_mor,C01_OD_2b_Tot,C01_OD_3b_NPFH_2,C01_OD_3b_NPFH_3,C01_OD_3b_NPFH_4,C01_OD_3b_NPFH_5,C01_OD_3b_NPFH_6_mor,C01_OD_3b_Tot,C01_OD_4mb_NPFH_2,C01_OD_4mb_NPFH_3,C01_OD_4mb_NPFH_4,C01_OD_4mb_NPFH_5,C01_OD_4mb_NPFH_6_mor,C01_OD_4mb_Tot,C01_OD_NB_NS_NPFH_2,C01_OD_NB_NS_NPFH_3,C01_OD_NB_NS_NPFH_4,C01_OD_NB_NS_NPFH_5,C01_OD_NB_NS_NPFH_6_mor,C01_OD_NB_NS_T,C01_OD_Tot_NPFH_2,C01_OD_Tot_NPFH_3,C01_OD_Tot_NPFH_4,C01_OD_Tot_NPFH_5,C01_OD_Tot_NPFH_6_mor,C01_OD_T_T,C01_DS_NS_NPFH_2,C01_DS_NS_NPFH_3,C01_DS_NS_NPFH_4,C01_DS_NS_NPFH_5,C01_DS_NS_NPFH_6_mor,C01_DS_NS_T,C01_Tot_NPFH_2,C01_Tot_NPFH_3,C01_Tot_NPFH_4,C01_Tot_NPFH_5,C01_Tot_NPFH_6_mor,C01_T_T,C06_SH_0b_NPFH_2,C06_SH_0b_NPFH_3,C06_SH_0b_NPFH_4,C06_SH_0b_NPFH_5,C06_SH_0b_NPFH_6_mor,C06_SH_0bTotal,C06_SH_1b_NPFH_2,C06_SH_1b_NPFH_3,C06_SH_1b_NPFH_4,C06_SH_1b_NPFH_5,C06_SH_1b_NPFH_6_mor,C06_SH_1b_Tot,C06_SH_2b_NPFH_2,C06_SH_2b_NPFH_3,C06_SH_2b_NPFH_4,C06_SH_2b_NPFH_5,C06_SH_2b_NPFH_6_mor,C06_SH_2b_Tot,C06_SH_3b_NPFH_2,C06_SH_3b_NPFH_3
LGA10050,3,0,0,0,3,6,15,3,3,0,0,21,525,140,41,13,3,722,2589,1387,1261,424,115,5776,855,628,888,677,299,3347,38,10,10,3,3,64,4025,2168,2203,1117,423,9936,0,0,0,0,0,0,6,0,0,0,0,6,218,50,13,0,0,281,71,29,13,4,0,117,8,0,3,3,3,17,3,0,0,0,0,3,306,79,29,7,3,424,4,0,0,0,0,4,39,0,0,0,0,39,421,92,13,4,0,530,80,43,17,6,3,149,4,4,3,3,4,18,9,0,0,0,0,9,557,139,33,13,7,749,3,0,0,0,0,3,8,0,0,0,0,8,14,4,0,3,0,21,11,5,6,0,0,22,4,0,0,0,0,4,0,0,0,3,0,3,40,9,6,6,0,61,25,10,10,0,0,45,4953,2405,2281,1143,433,11215,0,0,0,0,0,0,14,4,4,6,0,28,559,110,44,7,3,723,2682,1395
LGA10110,0,0,3,0,0,3,22,3,0,0,0,25,237,61,46,12,3,359,1232,595,557,189,70,2643,650,341,496,357,173,2017,19,8,4,0,3,34,2160,1008,1106,558,249,5081,0,0,0,0,0,0,4,0,0,0,0,4,76,16,5,0,0,97,15,15,8,4,0,42,4,0,3,3,3,13,4,0,0,0,0,4,103,31,16,7,3,160,0,0,0,0,0,0,16,0,3,0,0,19,100,37,13,3,3,156,16,12,9,3,0,40,0,3,0,0,3,6,0,0,0,0,0,0,132,52,25,6,6,221,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,4,4,4,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,15,4,4,0,0,23,21,5,6,3,0,35,2431,1100,1157,574,258,5520,4,0,0,0,0,4,17,3,0,0,0,20,235,53,26,8,0,322,1232,579
LGA10150,3,3,0,0,0,6,18,4,0,0,0,22,300,131,76,16,3,526,865,623,625,233,73,2419,273,308,417,303,184,1485,25,13,10,4,0,52,1484,1082,1128,556,260,4510,0,0,0,0,0,0,27,7,3,0,0,37,346,134,51,9,0,540,173,152,121,33,11,490,25,28,33,28,10,124,4,4,0,0,0,8,575,325,208,70,21,1199,9,0,0,0,0,9,299,46,15,0,0,360,1324,770,412,87,15,2608,96,95,53,31,18,293,9,3,6,3,4,25,26,16,8,5,0,55,1763,930,494,126,37,3350,0,0,0,3,0,3,14,3,0,0,0,17,9,12,5,3,0,29,8,7,8,3,6,32,0,0,0,3,0,3,0,0,3,0,0,3,31,22,16,12,6,87,79,17,25,6,3,130,3932,2376,1871,770,327,9276,3,0,0,0,0,3,13,4,0,0,3,20,344,179,91,17,3,634,885,595
LGA10200,0,3,3,0,3,9,29,4,6,0,0,39,661,321,243,94,53,1372,1111,952,1169,645,571,4448,261,297,605,467,645,2275,21,21,26,16,29,113,2083,1598,2052,1222,1301,8256,0,0,0,0,0,0,12,4,3,0,0,19,139,83,46,20,4,292,168,205,231,108,70,782,26,30,53,36,34,179,8,5,5,4,3,25,353,327,338,168,111,1297,10,0,3,0,0,13,84,20,6,0,0,110,832,723,476,173,47,2251,78,121,127,75,54,455,0,6,9,4,10,29,21,19,12,3,4,59,1025,889,633,255,115,2917,0,0,0,0,0,0,3,3,0,0,0,6,17,11,8,3,3,42,3,0,5,7,4,19,3,3,0,3,4,13,0,0,0,0,0,0,26,17,13,13,11,80,16,20,22,11,13,82,3503,2851,3058,1669,1551,12632,0,6,4,4,10,24,30,7,0,0,0,37,638,350,255,108,39,1390,1166,1006
LGA10250,4,0,0,0,0,4,27,6,0,0,0,33,372,91,60,9,4,536,2110,858,810,247,86,4111,1091,626,782,479,230,3208,15,11,11,3,3,43,3619,1592,1663,738,323,7935,0,0,0,0,0,0,15,0,0,0,0,15,436,83,22,3,0,544,342,156,96,24,10,628,23,13,6,10,0,52,5,3,0,0,0,8,821,255,124,37,10,1247,0,0,0,0,0,0,26,0,0,0,0,26,246,52,10,3,3,314,139,71,39,11,6,266,6,5,4,3,0,18,6,0,3,0,0,9,423,128,56,17,9,633,8,0,3,3,0,14,39,0,3,0,0,42,117,19,7,3,0,146,26,17,14,3,3,63,3,4,3,3,3,16,4,0,0,0,0,4,197,40,30,12,6,285,12,4,4,3,3,26,5072,2019,1877,807,351,10126,0,0,0,0,0,0,31,4,0,0,0,35,323,77,51,10,3,464,2127,837
LGA10300,0,0,0,0,0,0,9,3,0,0,3,15,41,10,13,0,0,64,143,73,89,36,14,355,80,51,57,40,21,249,4,0,0,0,0,4,277,137,159,76,38,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,12,0,0,0,0,0,0,297,143,159,76,38,713,0,0,0,0,0,0,5,0,0,0,0,5,33,12,4,3,3,55,170,51
LGA10350,14,7,5,3,4,33,88,23,9,4,4,128,2702,1005,633,252,85,4677,6246,4350,4648,2055,1330,18629,1589,1727,2703,2210,2033,10262,122,67,70,43,50,352,10761,7179,8068,4567,3506,34081,0,0,0,0,0,0,52,8,3,0,0,63,487,199,102,26,5,819,882,710,569,250,140,2551,86,100,140,89,96,511,14,6,6,6,7,39,1521,1023,820,371,248,3983,9,0,0,0,0,9,162,20,6,3,3,194,1106,762,474,145,43,2530,127,157,153,91,46,574,8,9,6,9,15,47,36,16,16,4,0,72,1448,964,655,252,107,3426,0,0,0,0,0,0,5,0,0,0,0,5,20,22,10,4,0,56,19,8,16,5,6,54,5,3,4,5,9,26,0,0,0,0,3,3,49,33,30,14,18,144,79,27,49,22,14,191,13858,9226,9622,5226,3893,41825,3,6,3,9,6,27,72,24,16,5,4,121,2147,781,536,169,75,3708,5963,3941
LGA10470,4,0,0,3,0,7,25,9,3,3,0,40,403,101,42,8,3,557,1810,893,793,276,101,3873,910,637,881,556,310,3294,23,4,6,0,3,36,3175,1644,1725,846,417,7807,0,0,0,0,0,0,5,0,0,0,0,5,98,20,3,0,0,121,63,53,27,10,7,160,8,7,6,3,4,28,3,3,3,0,0,9,177,83,39,13,11,323,3,0,0,0,0,3,15,0,0,0,0,15,146,24,9,3,0,182,29,9,5,3,0,46,0,0,0,0,3,3,4,0,0,0,0,4,197,33,14,6,3,253,3,0,0,0,0,3,8,3,0,0,0,11,13,3,3,0,0,19,7,3,3,3,0,16,3,3,0,0,3,9,0,0,0,0,0,0,34,12,6,3,3,58,11,10,7,0,3,31,3594,1782,1791,868,437,8472,3,0,0,0,0,3,42,7,3,3,3,58,384,102,33,5,6,530,1837,819
LGA10550,16,8,0,3,0,27,74,17,8,4,0,103,570,171,95,20,6,862,1936,728,747,288,78,3777,775,400,471,351,203,2200,23,4,5,4,3,39,3394,1328,1326,670,290,7008,0,0,0,0,0,0,4,0,0,0,0,4,112,23,6,0,3,144,120,37,17,14,3,191,33,8,11,17,5,74,3,0,0,0,0,3,272,68,34,31,11,416,4,0,0,0,0,4,28,0,0,0,0,28,157,32,7,0,0,196,66,18,13,6,3,106,8,4,3,3,0,18,0,0,0,0,0,0,263,54,23,9,3,352,9,3,3,0,0,15,34,0,0,0,0,34,44,21,6,6,0,77,26,9,11,6,0,52,11,7,5,4,0,27,5,0,3,0,0,8,129,40,28,16,0,213,15,8,7,3,0,33,4073,1498,1418,729,304,8022,15,3,0,3,0,21,90,15,10,0,5,120,654,181,80,18,11,944,2168,818
LGA10600,4,3,0,3,0,10,44,9,4,3,0,60,280,76,61,14,3,434,823,358,293,112,42,1628,333,176,203,168,89,969,8,3,3,0,0,14,1492,625,564,300,134,3115,0,0,0,0,0,0,3,0,0,0,0,3,26,4,0,0,0,30,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,34,7,0,0,0,41,0,0,0,0,0,0,3,3,0,0,0,6,31,0,0,0,0,31,8,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,42,3,3,3,0,51,5,0,0,0,0,5,13,3,0,0,0,16,10,5,3,0,0,18,4,3,4,0,0,11,0,3,3,3,0,9,0,0,0,0,0,0,32,14,10,3,0,59,26,9,4,6,3,48,1626,658,581,312,137,3314,8,0,0,0,0,8,45,14,4,3,0,66,304,87,43,10,4,448,872,372
LGA10650,0,0,3,0,0,3,9,0,0,0,0,9,130,26,14,5,4,179,604,199,184,86,26,1099,253,111,132,94,68,658,5,3,0,0,0,8,1001,339,333,185,98,1956,0,0,0,0,0,0,3,0,0,0,0,3,15,3,0,0,0,18,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,0,0,24,0,0,0,0,0,0,3,0,0,0,0,3,21,8,3,0,0,32,13,3,0,3,0,19,3,0,0,0,0,3,3,0,0,0,0,3,43,11,3,3,0,60,0,0,0,0,0,0,9,0,0,0,0,9,10,0,0,0,0,10,7,0,0,0,0,7,0,0,4,0,0,4,0,3,0,0,0,3,26,3,4,0,0,33,4,0,0,0,0,4,1092,356,343,188,98,2077,0,0,0,0,0,0,13,0,0,0,0,13,131,19,12,3,3,168,673,197
LGA10750,22,5,11,6,4,48,138,30,24,9,7,208,1620,598,345,96,33,2692,11299,9117,9011,3612,1624,34663,3740,3945,6049,4172,2986,20892,213,102,137,79,73,604,17032,13797,15577,7974,4727,59107,4,3,0,0,0,7,59,6,0,0,0,65,312,146,84,17,10,569,1273,1076,853,336,184,3722,65,78,100,64,74,381,23,7,16,4,6,56,1736,1316,1053,421,274,4800,8,0,0,0,0,8,137,15,5,0,0,157,517,312,177,47,18,1071,54,61,47,22,10,194,9,5,6,3,3,26,20,3,4,3,0,30,745,396,239,75,31,1486,3,0,0,0,0,3,26,0,0,0,0,26,40,20,10,5,0,75,5,12,6,3,0,26,3,0,4,4,0,11,0,0,0,0,0,0,77,32,20,12,0,141,82,58,66,26,16,248,19672,15599,16955,8508,5048,65782,9,12,6,13,8,48,75,36,26,15,3,155,1282,447,232,67,27,2055,11542,8195
LGA10800,0,0,0,0,0,0,8,3,0,0,0,11,99,24,20,0,3,146,439,175,131,79,20,844,229,103,125,107,75,639,7,0,3,0,0,10,782,305,279,186,98,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,9,3,0,0,0,12,0,0,3,3,0,6,3,0,0,3,0,6,0,0,0,0,0,0,17,3,3,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,3,3,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,3,0,19,0,0,0,3,0,3,805,314,286,198,98,1701,0,0,0,0,0,0,5,3,0,0,0,8,96,10,10,8,0,124,426,167
LGA10850,0,3,0,0,0,3,7,0,0,0,0,7,87,29,20,5,3,144,388,201,180,79,26,874,179,90,113,92,54,528,0,0,0,3,3,6,661,323,313,179,86,1562,0,0,0,0,0,0,3,0,0,0,0,3,5,0,3,0,0,8,10,4,0,3,3,20,0,0,3,3,0,6,0,0,0,0,0,0,18,4,6,6,3,37,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,6,3,0,0,0,0,3,3,3,3,3,0,12,3,0,3,0,0,6,0,0,0,0,0,0,12,6,6,3,0,27,6,0,3,3,0,12,705,333,328,191,89,1646,3,0,0,0,0,3,12,3,0,0,0,15,112,27,12,6,0,157,412,189
LGA10900,8,5,3,0,0,16,135,15,3,0,0,153,1281,413,170,33,11,1908,4296,2168,1983,611,157,9215,1889,1379,2058,1408,686,7420,40,15,6,4,3,68,7649,3995,4223,2056,857,18780,0,0,0,0,0,0,8,0,0,0,0,8,87,12,8,0,0,107,126,59,32,12,3,232,9,8,13,12,6,48,0,0,0,0,0,0,230,79,53,24,9,395,3,0,3,0,0,6,45,3,0,0,0,48,94,11,3,0,0,108,25,9,4,0,3,41,9,6,0,3,0,18,0,0,0,0,0,0,176,29,10,3,3,221,3,0,0,0,0,3,5,0,0,0,0,5,5,0,3,0,0,8,5,3,3,3,0,14,4,0,0,0,0,4,3,3,0,0,0,6,25,6,6,3,0,40,28,23,28,6,6,91,8108,4132,4320,2092,875,19527,13,0,3,0,0,16,101,10,4,0,0,115,1219,311,145,26,5,1706,4354,2045
LGA10950,3,0,0,0,0,3,3,0,0,0,0,3,60,13,7,4,0,84,172,81,76,40,17,386,101,45,60,54,33,293,3,0,0,0,0,3,342,139,143,98,50,772,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,362,142,146,98,50,798,0,0,0,0,0,0,8,0,0,0,0,8,49,18,8,3,3,81,175,71
LGA11000,0,0,0,0,0,0,5,0,0,0,0,5,45,18,4,0,0,67,194,72,74,24,10,374,91,40,39,29,16,215,4,0,0,0,0,4,339,130,117,53,26,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,3,3,3,0,0,9,0,3,3,0,0,6,342,139,123,56,26,686,0,0,0,0,0,0,4,0,0,0,0,4,57,12,4,0,0,73,206,72
LGA11050,0,0,0,0,0,0,6,3,0,0,3,12,52,12,9,0,0,73,159,56,63,20,8,306,83,30,52,47,28,240,0,0,0,0,0,0,300,101,124,67,39,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,312,104,127,67,39,649,0,0,0,0,0,0,6,3,0,0,0,9,41,13,8,0,0,62,168,47
LGA11100,4,0,0,0,0,4,14,0,3,0,0,17,441,185,110,21,14,771,777,631,717,260,103,2488,151,210,300,215,191,1067,22,11,5,6,5,49,1409,1037,1135,502,313,4396,0,0,3,0,0,3,14,3,3,0,0,20,224,95,63,7,3,392,267,215,196,67,24,769,25,30,49,41,29,174,5,0,3,0,0,8,535,343,317,115,56,1366,3,0,3,0,0,6,123,28,7,0,0,158,949,708,455,126,34,2272,152,200,200,88,47,687,7,3,7,3,3,23,23,8,17,4,0,52,1257,947,689,221,84,3198,0,0,0,0,0,0,4,0,0,0,0,4,11,10,3,3,3,30,0,8,5,3,0,16,0,0,3,0,0,3,0,0,0,0,0,0,15,18,11,6,3,53,19,8,13,4,0,44,3235,2353,2165,848,456,9057,3,3,0,0,0,6,10,0,4,0,0,14,389,164,91,21,4,669,803,641
LGA11150,0,0,0,3,0,3,13,3,3,0,0,19,57,15,14,5,5,96,133,82,84,50,43,392,73,47,54,47,46,267,5,7,4,3,0,19,281,154,159,108,94,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,6,3,3,0,3,0,9,3,3,0,0,3,9,0,0,0,0,0,0,12,9,0,3,3,27,3,0,0,0,0,3,304,163,159,111,97,834,0,0,0,0,0,0,12,0,0,0,0,12,49,14,3,3,3,72,131,73
LGA11200,3,0,0,0,0,3,5,3,0,3,0,11,22,16,5,3,0,46,69,52,49,31,25,226,39,33,22,25,27,146,4,3,5,0,3,15,142,107,81,62,55,447,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,148,107,81,62,58,456,0,0,0,0,0,0,3,0,0,0,3,6,28,10,11,3,0,52,78,38
LGA11250,3,0,0,0,0,3,27,0,3,0,0,30,647,152,55,12,3,869,1637,764,678,219,60,3358,251,179,270,188,86,974,28,5,7,3,0,43,2593,1100,1013,422,149,5277,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,13,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,21,5,0,3,0,29,5,0,0,0,0,5,3,0,3,0,0,6,0,0,0,0,0,0,32,5,3,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,8,4,0,3,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,12,3,3,0,0,18,11,3,0,0,3,17,2663,1111,1022,425,152,5373,8,0,0,0,0,8,22,4,3,0,0,29,574,113,41,13,0,741,1519,637
LGA11300,0,0,0,0,0,0,14,3,0,0,0,17,273,105,81,17,7,483,735,572,585,215,102,2209,292,301,468,352,285,1698,9,6,5,9,9,38,1323,987,1139,593,403,4445,0,0,0,0,0,0,6,0,0,0,0,6,136,75,38,5,4,258,90,99,102,27,11,329,21,21,22,21,10,95,0,0,3,0,0,3,253,195,165,53,25,691,15,0,0,0,0,15,127,27,9,0,0,163,545,356,203,46,8,1158,79,93,67,31,19,289,7,6,4,0,6,23,21,5,10,3,3,42,794,487,293,80,36,1690,0,0,0,0,0,0,3,0,0,0,0,3,7,8,4,3,0,22,0,4,5,0,3,12,0,0,0,4,0,4,0,0,3,0,0,3,10,12,12,7,3,44,26,13,15,6,3,63,2406,1694,1624,739,470,6933,3,3,0,0,0,6,14,5,6,3,0,28,274,111,65,17,4,471,746,509
LGA11350,11,4,0,0,0,15,89,24,6,0,0,119,460,171,100,23,5,759,1594,815,681,240,45,3375,547,405,484,332,165,1933,13,10,6,3,0,32,2714,1429,1277,598,215,6233,0,0,0,0,0,0,8,0,0,0,0,8,93,28,12,0,0,133,136,94,27,8,0,265,9,3,3,6,0,21,4,0,0,0,0,4,250,125,42,14,0,431,0,0,0,0,0,0,27,3,0,0,0,30,90,27,3,3,0,123,33,23,7,7,3,73,5,3,0,3,0,11,3,3,0,3,0,9,158,59,10,16,3,246,10,3,0,0,0,13,35,0,3,0,0,38,58,10,3,0,0,71,13,9,5,3,0,30,3,0,6,0,3,12,6,0,3,0,0,9,125,22,20,3,3,173,28,14,11,3,3,59,3275,1649,1360,634,224,7142,12,4,3,3,0,22,73,15,8,4,0,100,469,142,89,19,5,724,1569,811
LGA11400,0,0,0,0,0,0,23,4,0,0,0,27,257,80,40,9,3,389,768,287,261,132,60,1508,441,199,256,246,140,1282,11,3,3,0,0,17,1500,573,560,387,203,3223,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,3,3,0,0,0,6,0,3,0,0,0,3,0,0,0,0,0,0,8,6,3,0,0,17,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3,3,12,5,3,3,0,0,11,1523,585,569,390,206,3273,6,0,0,0,0,6,17,0,5,0,0,22,241,60,30,4,3,338,782,252
