region_id,C06_SH_3b_NPGH_4,C06_SH_3b_NPGH_5,C06_SH_3b_NPGH_6_mor,C06_SH_3b_Tot,C06_SH_4mb_NPGH_2,C06_SH_4mb_NPGH_3,C06_SH_4mb_NPGH_4,C06_SH_4mb_NPGH_5,C06_SH_4mb_NPGH_6_mor,C06_SH_4mb_Tot,C06_SH_NB_NS_NPGH_2,C06_SH_NB_NS_NPGH_3,C06_SH_NB_NS_NPGH_4,C06_SH_NB_NS_NPGH_5,C06_SH_NB_NS_NPGH_6_mor,C06_SH_NB_NS_T,C06_SH_Tot_NPGH_2,C06_SH_Tot_NPGH_3,C06_SH_Tot_NPGH_4,C06_SH_Tot_NPGH_5,C06_SH_Tot_NPGH_6_mor,C06_SH_T_T,C06_SDRTHT_0b_NPGH_2,C06_SDRTHT_0b_NPGH_3,C06_SDRTHT_0b_NPGH_4,C06_SDRTHT_0b_NPGH_5,C06_SDRTHT_0b_NPGH_6_mor,C06_SDRTHT_0bTotal,C06_SDRTHT_1b_NPGH_2,C06_SDRTHT_1b_NPGH_3,C06_SDRTHT_1b_NPGH_4,C06_SDRTHT_1b_NPGH_5,C06_SDRTHT_1b_NPGH_6_mor,C06_SDRTHT_1b_Tot,C06_SDRTHT_2b_NPGH_2,C06_SDRTHT_2b_NPGH_3,C06_SDRTHT_2b_NPGH_4,C06_SDRTHT_2b_NPGH_5,C06_SDRTHT_2b_NPGH_6_mor,C06_SDRTHT_2b_Tot,C06_SDRTHT_3b_NPGH_2,C06_SDRTHT_3b_NPGH_3,C06_SDRTHT_3b_NPGH_4,C06_SDRTHT_3b_NPGH_5,C06_SDRTHT_3b_NPGH_6_mor,C06_SDRTHT_3b_Tot,C06_SDRTHT_4mb_NPGH_2,C06_SDRTHT_4mb_NPGH_3,C06_SDRTHT_4mb_NPGH_4,C06_SDRTHT_4mb_NPGH_5,C06_SDRTHT_4mb_NPGH_6_mor,C06_SDRTHT_4mb_Tot,C06_SDRTHT_NB_NS_NPGH_2,C06_SDRTHT_NB_NS_NPGH_3,C06_SDRTHT_NB_NS_NPGH_4,C06_SDRTHT_NB_NS_NPGH_5,C06_SDRTHT_NB_NS_NPGH_6_mor,C06_SDRTHT_NB_NS_T,C06_SDRTHT_Tot_NPGH_2,C06_SDRTHT_Tot_NPGH_3,C06_SDRTHT_Tot_NPGH_4,C06_SDRTHT_Tot_NPGH_5,C06_SDRTHT_Tot_NPGH_6_mor,C06_SDRTHT_T_T,C06_FUA_0b_NPGH_2,C06_FUA_0b_NPGH_3,C06_FUA_0b_NPGH_4,C06_FUA_0b_NPGH_5,C06_FUA_0b_NPGH_6_mor,C06_FUA_0bTotal,C06_FUA_1b_NPGH_2,C06_FUA_1b_NPGH_3,C06_FUA_1b_NPGH_4,C06_FUA_1b_NPGH_5,C06_FUA_1b_NPGH_6_mor,C06_FUA_1b_Tot,C06_FUA_2b_NPGH_2,C06_FUA_2b_NPGH_3,C06_FUA_2b_NPGH_4,C06_FUA_2b_NPGH_5,C06_FUA_2b_NPGH_6_mor,C06_FUA_2b_Tot,C06_FUA_3b_NPGH_2,C06_FUA_3b_NPGH_3,C06_FUA_3b_NPGH_4,C06_FUA_3b_NPGH_5,C06_FUA_3b_NPGH_6_mor,C06_FUA_3b_Tot,C06_FUA_4mb_NPGH_2,C06_FUA_4mb_NPGH_3,C06_FUA_4mb_NPGH_4,C06_FUA_4mb_NPGH_5,C06_FUA_4mb_NPGH_6_mor,C06_FUA_4mb_Tot,C06_FUA_NB_NS_NPGH_2,C06_FUA_NB_NS_NPGH_3,C06_FUA_NB_NS_NPGH_4,C06_FUA_NB_NS_NPGH_5,C06_FUA_NB_NS_NPGH_6_mor,C06_FUA_NB_NS_T,C06_FUA_Tot_NPGH_2,C06_FUA_Tot_NPGH_3,C06_FUA_Tot_NPGH_4,C06_FUA_Tot_NPGH_5,C06_FUA_Tot_NPGH_6_mor,C06_FUA_T_T,C06_OD_0b_NPGH_2,C06_OD_0b_NPGH_3,C06_OD_0b_NPGH_4,C06_OD_0b_NPGH_5,C06_OD_0b_NPGH_6_mor,C06_OD_0bTotal,C06_OD_1b_NPGH_2,C06_OD_1b_NPGH_3,C06_OD_1b_NPGH_4,C06_OD_1b_NPGH_5,C06_OD_1b_NPGH_6_mor,C06_OD_1b_Tot,C06_OD_2b_NPGH_2,C06_OD_2b_NPGH_3,C06_OD_2b_NPGH_4,C06_OD_2b_NPGH_5,C06_OD_2b_NPGH_6_mor,C06_OD_2b_Tot,C06_OD_3b_NPGH_2,C06_OD_3b_NPGH_3,C06_OD_3b_NPGH_4,C06_OD_3b_NPGH_5,C06_OD_3b_NPGH_6_mor,C06_OD_3b_Tot,C06_OD_4mb_NPGH_2,C06_OD_4mb_NPGH_3,C06_OD_4mb_NPGH_4,C06_OD_4mb_NPGH_5,C06_OD_4mb_NPGH_6_mor,C06_OD_4mb_Tot,C06_OD_NB_NS_NPGH_2,C06_OD_NB_NS_NPGH_3,C06_OD_NB_NS_NPGH_4,C06_OD_NB_NS_NPGH_5,C06_OD_NB_NS_NPGH_6_mor,C06_OD_NB_NS_T,C06_OD_Tot_NPGH_2,C06_OD_Tot_NPGH_3,C06_OD_Tot_NPGH_4,C06_OD_Tot_NPGH_5,C06_OD_Tot_NPGH_6_mor,C06_OD_T_T,C06_DS_NS_NPGH_2,C06_DS_NS_NPGH_3,C06_DS_NS_NPGH_4,C06_DS_NS_NPGH_5,C06_DS_NS_NPGH_6_mor,C06_DS_NS_T,C06_Tot_NPGH_2,C06_Tot_NPGH_3,C06_Tot_NPGH_4,C06_Tot_NPGH_5,C06_Tot_NPGH_6_mor,C06_T_T,C11_SH_0b_NPGH_2,C11_SH_0b_NPGH_3,C11_SH_0b_NPGH_4,C11_SH_0b_NPGH_5,C11_SH_0b_NPGH_6_mor,C11_SH_0bTotal,C11_SH_1b_NPGH_2,C11_SH_1b_NPGH_3,C11_SH_1b_NPGH_4,C11_SH_1b_NPGH_5,C11_SH_1b_NPGH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPGH_2,C11_SH_2b_NPGH_3,C11_SH_2b_NPGH_4,C11_SH_2b_NPGH_5,C11_SH_2b_NPGH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPGH_2,C11_SH_3b_NPGH_3,C11_SH_3b_NPGH_4,C11_SH_3b_NPGH_5,C11_SH_3b_NPGH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPGH_2,C11_SH_4mb_NPGH_3,C11_SH_4mb_NPGH_4,C11_SH_4mb_NPGH_5,C11_SH_4mb_NPGH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPGH_2,C11_SH_NB_NS_NPGH_3,C11_SH_NB_NS_NPGH_4,C11_SH_NB_NS_NPGH_5,C11_SH_NB_NS_NPGH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPGH_2,C11_SH_Tot_NPGH_3,C11_SH_Tot_NPGH_4,C11_SH_Tot_NPGH_5
LGA10050,20,5,0,299,60,27,24,18,10,139,9,0,0,0,0,9,344,91,44,23,10,512,0,0,0,0,0,0,0,0,0,0,0,0,61,3,0,0,0,64,13,6,0,0,0,19,3,0,3,3,0,9,0,0,0,0,0,0,77,9,3,3,0,92,3,0,0,0,0,3,7,0,0,0,0,7,213,3,4,0,0,220,35,8,5,0,0,48,3,3,0,0,0,6,3,0,0,0,0,3,264,14,9,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,114,56,26,10,891,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,258,62,7,0,0,327,75,32,29,10,4,150,8,3,3,0,0,14,402,97,39,10
LGA10110,14,3,0,173,41,11,28,3,3,86,3,3,0,0,0,6,209,61,42,6,3,321,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,10,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,54,3,3,0,0,60,0,0,0,0,0,0,3,0,0,0,0,3,78,3,0,0,0,81,10,4,3,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,95,7,3,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,3,4,3,0,0,10,0,0,0,0,0,0,361,75,51,6,3,496,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,0,47,112,37,3,0,0,152,44,22,13,6,3,88,5,0,5,0,0,10,204,63,21,6
LGA10150,10,3,0,114,21,7,21,9,3,61,3,0,3,0,0,6,149,35,37,15,6,242,0,0,0,0,0,0,0,3,0,0,0,3,69,7,3,0,3,82,29,15,3,0,0,47,4,3,3,0,0,10,0,4,0,0,0,4,102,32,9,0,3,146,10,0,0,0,0,10,29,0,0,0,0,29,380,63,30,14,0,487,23,32,10,0,4,69,0,0,4,0,0,4,21,12,0,0,3,36,463,107,44,14,7,635,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,12,0,0,0,0,0,0,723,174,93,29,16,1035,3,3,0,0,3,9,3,0,0,0,0,3,28,0,3,0,0,31,64,34,0,0,0,98,25,9,29,6,5,74,3,5,0,3,0,11,126,51,32,9
LGA10200,12,4,0,121,26,10,6,4,6,52,8,0,0,3,0,11,196,49,21,11,9,286,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,3,0,20,20,15,3,0,0,38,5,5,4,0,0,14,0,0,0,0,0,0,39,23,7,3,0,72,0,0,0,0,0,0,16,3,0,0,0,19,233,68,34,5,3,343,42,53,38,14,11,158,0,3,6,3,5,17,14,4,0,5,0,23,305,131,78,27,19,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,7,0,0,0,0,7,547,203,110,41,28,929,3,0,0,0,0,3,7,0,0,0,0,7,63,6,0,3,0,72,89,39,19,7,7,161,35,19,16,10,9,89,9,0,0,0,0,9,206,64,35,20
LGA10250,13,3,5,167,66,19,7,4,3,99,3,3,0,0,0,6,260,47,20,7,8,342,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,26,10,4,0,0,40,3,0,0,0,0,3,3,0,0,0,0,3,63,10,4,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,80,3,0,0,0,83,31,14,6,0,0,51,3,0,4,0,0,7,6,3,0,0,0,9,120,20,10,0,0,150,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,10,4,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,21,3,0,0,0,24,0,0,0,0,0,0,464,80,34,7,8,593,5,0,0,0,0,5,3,3,0,0,0,6,40,0,0,0,0,40,141,27,3,0,0,171,68,17,7,0,4,96,8,0,0,0,0,8,265,47,10,0
LGA10300,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,9,6,0,0
LGA10350,13,0,0,319,80,21,18,6,3,128,22,3,0,0,3,28,545,65,34,9,6,659,4,0,0,0,0,4,3,0,0,0,0,3,26,3,0,0,0,29,83,8,5,0,3,99,12,5,7,6,0,30,5,4,0,0,5,14,133,20,12,6,8,179,3,0,0,0,0,3,13,0,0,0,0,13,157,16,4,3,0,180,19,5,5,3,0,32,0,3,0,0,0,3,11,0,0,0,0,11,203,24,9,6,0,242,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,888,109,55,21,14,1087,0,0,0,0,0,0,9,0,0,0,0,9,151,8,0,3,0,162,276,57,14,3,0,350,96,33,25,13,10,177,22,7,0,0,0,29,554,105,39,19
LGA10470,12,3,0,195,62,15,30,6,5,118,3,0,0,0,0,3,262,57,42,9,5,375,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,21,19,7,3,0,50,0,0,12,0,0,12,0,6,0,0,0,6,61,25,19,3,0,108,0,0,0,0,0,0,0,0,0,0,0,0,77,6,0,0,0,83,19,5,3,0,0,27,7,0,0,3,0,10,0,0,0,0,0,0,103,11,3,3,0,120,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,4,5,3,0,0,12,0,0,0,0,0,0,430,98,67,15,5,615,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,150,37,0,0,0,187,63,32,35,13,3,146,5,5,0,0,0,10,271,74,35,13
LGA10550,6,0,0,126,22,3,4,0,0,29,7,0,0,0,0,7,194,11,10,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,46,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,55,3,0,0,0,58,0,0,3,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,10,0,0,0,0,0,0,267,14,13,0,0,294,0,0,0,0,0,0,4,0,0,0,0,4,58,0,0,0,0,58,115,13,0,0,0,128,41,14,0,0,0,55,13,3,0,0,0,16,231,30,0,0
LGA10600,0,0,0,68,19,3,0,0,0,22,0,3,0,0,0,3,113,10,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,132,10,0,0,0,142,0,0,0,0,0,0,3,0,0,0,0,3,31,0,0,0,0,31,69,7,3,0,0,79,23,9,3,0,0,35,7,0,0,0,0,7,133,16,6,0
LGA10650,0,0,0,30,7,0,4,0,0,11,5,0,0,0,0,5,53,6,4,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,70,6,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,23,0,0,0,0,23,12,0,0,0,0,12,0,0,0,0,0,0,49,0,0,0
LGA10750,21,6,0,894,265,64,38,22,10,399,38,3,0,0,0,41,1235,142,62,31,10,1480,0,0,0,0,0,0,3,0,0,0,0,3,46,3,0,3,0,52,151,25,10,5,4,195,18,0,0,0,0,18,5,3,0,0,0,8,223,31,10,8,4,276,3,3,0,0,0,6,9,0,0,0,0,9,107,6,4,0,0,117,11,0,3,0,0,14,0,0,0,0,0,0,5,0,3,0,0,8,135,9,10,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,18,0,0,0,0,0,0,1608,185,82,39,14,1928,3,0,0,0,0,3,11,0,3,0,0,14,141,6,0,0,0,147,774,114,23,10,0,921,272,84,50,25,21,452,34,12,4,4,0,54,1235,216,80,39
LGA10800,0,0,0,11,7,0,0,0,0,7,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,15,3,0,0,0,18,12,3,0,0,0,15,0,0,0,0,0,0,37,6,0,0
LGA10850,0,0,0,18,0,3,0,0,0,3,0,0,0,0,0,0,32,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,40,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,19,3,0,0,0,22,9,0,0,0,0,9,0,0,0,0,0,0,34,3,0,0
LGA10900,11,5,0,369,104,17,28,7,0,156,8,0,0,0,0,8,611,52,43,12,0,718,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,8,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,12,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,56,43,12,0,764,3,0,0,0,0,3,9,0,0,0,0,9,147,8,0,0,0,155,312,44,7,0,0,363,119,28,13,6,3,169,12,6,0,0,0,18,602,86,20,6
LGA10950,3,0,0,13,8,0,0,0,0,8,0,0,0,0,0,0,29,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,3,21,0,0,0
LGA11000,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,16,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,5,10,0,0,0,0,10,0,3,0,0,0,3,20,3,0,0
LGA11050,3,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,16,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0
LGA11100,0,0,0,72,13,5,10,3,0,31,3,0,0,0,0,3,111,20,10,3,0,144,0,0,0,0,0,0,3,0,0,0,0,3,17,3,0,0,0,20,28,7,3,0,0,38,4,5,0,0,0,9,0,0,0,0,0,0,52,15,3,0,0,70,3,0,0,0,0,3,10,3,0,0,0,13,202,39,16,3,0,260,21,16,3,3,0,43,4,0,0,0,0,4,12,3,0,0,0,15,252,61,19,6,0,338,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,4,418,100,32,9,0,559,0,0,3,0,0,3,3,0,0,0,0,3,30,4,3,0,0,37,48,27,3,4,3,85,12,3,8,4,3,30,9,0,0,0,0,9,102,34,17,8
LGA11150,0,0,0,11,3,4,0,0,0,7,4,0,0,0,0,4,21,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,20,0,0,0
LGA11200,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,7,4,0,0,0,0,4,3,0,0,0,0,3,19,0,0,0
LGA11250,0,0,0,65,18,0,0,3,0,21,0,0,0,0,0,0,119,11,0,3,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,11,0,3,0,139,0,0,0,0,0,0,3,0,0,0,0,3,48,0,0,0,0,48,62,0,0,0,0,62,15,5,4,0,0,24,5,0,0,0,0,5,133,5,4,0
LGA11300,5,0,5,87,17,11,20,11,8,67,12,5,0,0,0,17,128,30,28,14,16,216,0,0,0,0,0,0,3,0,0,0,0,3,14,9,0,3,0,26,6,5,4,0,0,15,6,0,5,0,0,11,0,0,0,0,0,0,29,14,9,3,0,55,3,0,0,0,0,3,9,6,0,0,0,15,181,81,62,22,8,354,19,43,28,12,9,111,3,0,0,0,0,3,13,10,0,5,0,28,228,140,90,39,17,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,388,184,127,56,33,788,0,0,0,0,0,0,5,0,0,0,0,5,30,5,3,0,3,41,58,20,8,3,0,89,31,23,15,7,8,84,8,0,4,3,5,20,132,48,30,13
LGA11350,26,4,0,321,68,38,17,9,5,137,14,4,0,0,0,18,402,112,48,13,5,580,0,0,0,0,0,0,3,0,0,0,0,3,22,0,0,0,0,22,39,23,4,3,0,69,3,3,3,0,0,9,4,0,0,0,0,4,71,26,7,3,0,107,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,12,6,0,0,0,18,3,0,0,3,0,6,3,0,0,0,0,3,44,6,0,3,0,53,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,3,4,0,0,0,7,15,4,0,0,0,19,0,0,0,0,0,0,532,148,55,19,5,759,5,0,0,0,0,5,11,0,0,0,0,11,98,8,0,0,0,106,216,68,10,5,0,299,100,42,46,8,0,196,11,4,3,0,0,18,441,122,59,13
LGA11400,0,0,0,31,8,0,0,0,0,8,4,0,0,0,0,4,65,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,70,0,0,0,0,70,4,0,0,0,0,4,3,0,0,0,0,3,15,0,0,3,0,18,28,0,3,0,0,31,8,3,0,0,0,11,3,0,0,0,0,3,61,3,3,3
