region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
LGA10050,19,38,37,386,561,558,739,1034,1024,1300,1452,1450,165,200,195,1.2,1.1,1.1,3.0,2.3,2.4,7.4,1.6,1.8
LGA10110,20,36,35,334,508,494,749,1014,990,1257,1452,1441,195,210,200,1.2,1.1,1.1,3.1,2.4,2.4,8.7,2.0,2.4
LGA10150,25,37,37,688,628,628,1481,1413,1413,823,2167,2167,375,360,361,1.3,1.2,1.2,2.6,2.5,2.5,12.1,8.2,8.2
LGA10200,30,31,31,460,420,420,1312,1159,1160,1720,2000,2000,325,350,350,1.2,1.3,1.3,2.7,3.1,3.1,9.2,14.5,14.4
LGA10250,21,46,45,367,500,496,844,933,931,1700,1733,1733,220,295,290,1.2,1.1,1.1,3.1,2.3,2.4,10.7,1.7,2.0
LGA10300,27,42,41,353,481,472,691,932,904,1127,867,867,120,135,135,1.2,1.1,1.1,2.9,2.4,2.4,4.2,1.8,2.0
LGA10350,24,35,35,398,428,428,1099,1091,1091,1957,2006,2000,245,310,310,1.2,1.2,1.2,3.1,3.0,3.0,11.3,9.0,9.0
LGA10470,20,37,36,344,551,544,926,1154,1142,1517,1629,1625,210,220,220,1.2,1.1,1.1,3.2,2.5,2.5,10.8,1.7,2.1
LGA10550,18,48,48,328,457,453,760,850,848,1333,1300,1300,190,200,200,1.2,1.1,1.1,3.1,2.3,2.3,8.2,1.9,2.1
LGA10600,19,47,46,337,419,416,765,788,787,1382,1300,1300,220,225,220,1.2,1.1,1.1,3.0,2.3,2.4,7.9,2.5,2.7
LGA10650,16,49,48,322,432,429,784,778,778,1450,1154,1170,165,143,150,1.1,1.1,1.1,3.0,2.2,2.2,5.1,1.1,1.2
LGA10750,19,33,32,360,572,565,940,1405,1388,1950,2100,2100,205,300,300,1.2,1.1,1.1,3.4,3.1,3.1,12.1,6.2,6.4
LGA10800,19,42,41,408,462,460,939,877,880,932,1080,1080,150,130,130,1.3,1.1,1.1,3.3,2.4,2.4,11.7,1.4,1.9
LGA10850,15,41,40,438,535,533,1149,1090,1091,1592,1430,1434,180,165,165,1.2,1.1,1.1,3.6,2.5,2.5,17.1,1.7,2.2
LGA10900,22,42,42,443,593,590,1241,1271,1270,1950,1842,1842,280,280,280,1.1,1.1,1.1,3.2,2.5,2.5,4.6,1.6,1.7
LGA10950,20,41,39,379,499,479,939,891,898,1040,1000,1000,155,137,140,1.2,1.1,1.1,3.1,2.4,2.5,5.3,1.5,2.1
LGA11000,27,46,46,585,461,464,700,810,806,802,969,962,50,130,130,1.2,1.1,1.1,2.2,2.2,2.2,0,1.2,1.2
LGA11050,19,46,45,274,453,451,522,777,770,1249,1000,1000,220,132,132,1.2,1.1,1.1,3.1,2.3,2.3,0,2.5,2.5
LGA11100,25,37,37,509,576,575,1111,1246,1244,2687,2500,2500,300,340,330,1.2,1.2,1.2,2.8,2.6,2.6,13.0,9.0,9.1
LGA11150,25,39,35,416,678,601,903,1165,1083,867,923,894,120,54,89,1.3,1.1,1.1,3.2,2.3,2.6,9.4,1.1,3.7
